,Unnamed: 0,Song,Artist,Lyricist,Composer,Lyric
10,10,勇気100％,"
光GENJI",松井五郎,馬飼野康二,がっかりして めそめそして どうしたんだい 太陽みたいに笑う きみはどこだい やりたいこと やったもん勝ち 青春なら つらいときはいつだって そばにいるから 夢はでかくなけりゃ つまらないだろう 胸をたたいて 冒険しよう そうさ100％勇気 もうがんばるしかないさ この世界中の元気 抱きしめながら そうさ100％勇気 もうやりきるしかないさ ぼくたちが持てる輝き 永遠に忘れないでね ぶつかったり 傷ついたり すればいいさ HEARTが燃えているなら 後悔しない じっとしてちゃ はじまらない このときめき きみと追いかけてゆける 風が好きだよ 昨日 飛べなかった 空があるなら いまあるチャンス つかんでみよう そうさ100％勇気 さぁ飛び込むしかないさ まだ涙だけで終わる ときじゃないだろう そうさ100％勇気 もうふりむいちゃいけない ぼくたちはぼくたちらしく どこまでも駆けてゆくのさ たとえさみしすぎる 夜がきたって 新しい朝 かならずくるさ そうさ100％勇気 もうがんばるしかないさ この世界中の元気 抱きしめながら そうさ100％勇気 もうやりきるしかないさ ぼくたちが持てる輝き 永遠に忘れないでね
11,11,台風ジェネレーション -Typhoon Generation-,"
嵐",久保田洋司,馬飼野康二,街を見おろす丘から あの日僕らは何を見てた やっと 二人きりになれた 照れながら あの日 「明日の朝早く僕は 上りの電車に乗るんだね」 卒業のあとの校舎 小さく 見つけた 行かないでと一言 つぶやいた君 あの時 僕は 見えない 夢を いだいていた 離れていても きっといつまでも 君のことを思っているよと 言った心が いまさら うずいて たまらないよ 君にさよなら 電話で告げた 過ぎてゆく 季節の中に 会えない 時間にも 距離にも 勝てない 僕らがいた 僕のコートの裏には 君のセーターの色が残り キスの時の香りが消えずにある どこか 大人びて見えた あれは口紅のせいだって 今なら さまざまに 思い当たることも あるが 片道の切符を ふざけたふりで とりあげ 君は 無理して 妙にはしゃいでいた 離れたらもう 駄目になるよと 君がうつむくの 打ち消して 僕はコートで ふるえる その肩 つつみこんだ こんなに笑顔 思い出すのに そこで途切れてしまう君 忘れてしまっても 忘れはしないよ 胸のどこかが 行かないでと一言 つぶやいた君 あの時 僕は 見えない 夢を いだいていた 君にさよなら 電話で告げた 過ぎてゆく 季節の中に 会えない 時間にも 距離にも 勝てない 僕らがいた 街を見おろす丘からあの日 君が見ていた「何か」を このごろ不意に わかった気がする こともあるよ 君に出逢った 君に恋した この体の奥に ずっと 君と見つめていた 景色がいつでも 流れている
12,12,瞳のスクリーン,"
Hey! Say! JUMP",村野直球,馬飼野康二,瞳の中映る世界 あふれそうなカナシミでも 僕たちはもう 逃げ出さないさ 青春ストーリー 目をこらして見つめながら 光きっと探しだすさ 涙の先を見たいから ごまかしちゃダメさ 未来が不安になっても 自分に嘘はつかないで 迷い、迷い、迷って それでも 夢を、夢を、夢見て 想い届くと信じていくまで 瞳の中映る世界 あふれそうなカナシミでも 僕たちはもう 逃げ出さないさ 青春ストーリー 目をこらして見つめながら 光きっと探しだすさ 涙の先を見たいから 立ち止まっちゃダメさ 気持ちがびしょぬれだって 夢を孤独(ひとり)にさせないで 両手、両手、両手で 希望をぎゅっと、ぎゅっと握って 願い叶うと信じていくのさ 瞳の中映る世界 現実だけ にじんだって 僕たちはそう 目をそらさない 青春ミステリー 目をこすって見上げるのさ 光ずっと追い続けよう 涙の跡を照らすまで 迷い、迷い、迷って それでも 夢を、夢を、夢見て 想い届くと信じていくまで 瞳の中映る世界 あふれそうなカナシミでも 僕たちはもう 逃げ出さないさ 青春ストーリー 目をこらして見つめながら 光きっと探しだすさ 涙の先を見たいから 涙の跡を照らすまで
13,13,SUNRISE日本,"
嵐",F&T,馬飼野康二,静かな風が 通りすぎた 大地をあたたかな 香りが包む SUNRISE日本 かけめぐる 光は強さを持って SUNRISE日本 つきぬけろ 魂は ここにあるさ いろんな物 ただ作られて 心もなく捨てられてく街 いつか今を振り返る 自分がここにいたと思い出して 魂で生きてたと 言えるように 言えるように 君を友を愛を 抱きしめてやる 忘れない言葉を胸に 目を覚ます メロディー唄う いつからでも やりなおせるから 心に火をつけろ SUNRISE日本 淋しさも 星を見上げ うけとめる SUNRISE日本 涙さえ 両手でふいて 笑おう ゼンゼン話したくない時や カッコつけたくなる夜が みんなみんなみんなあるから だから 心配しないでもう少し 人を好きになったり キズついたり キスをしたり 君を友を愛を 抱きしめてやる ひとりでは ささえきれない 悲しみも ２人でささえる 昨日よりも 強い自分に なってゆけるから SUNRISE日本 この時代(とき)を みんなの夢の形に SUNRISE日本 変えてやる そう あきらめないで 静かな風が 通りすぎた 大地をあたたかな 香りが包む SUNRISE日本 かけめぐる 光は強さを持って SUNRISE日本 つきぬけろ 魂は ここにあるさ SUNRISE日本 淋しさも 星を見上げ うけとめる SUNRISE日本 涙さえ 両手でふいて 笑おう
14,14,アンパンマンたいそう,"
ドリーミング",やなせたかし・魚住勉,馬飼野康二,もし自信(じしん)をなくして くじけそうになったら いいことだけ いいことだけ 思(おも)いだせ そうさ空(そら)と海(うみ)を越(こ)えて 風(かぜ)のように走(はし)れ 夢(ゆめ)と愛(あい)をつれて 地球(ちきゅう)をひとっ飛(と)び アンパンマンは君(きみ)さ 元気(げんき)をだして アンパンマンは君(きみ)さ 力(ちから)のかぎり ほらキラめくよ 君(きみ)はやさしいヒーローさ だいじなもの忘(わす)れて べそかきそになったら 好(す)きな人(ひと)と好(す)きな人(ひと)と 手(て)をつなごう そうさ僕(ぼく)と君(きみ)をつなぐ 虹(にじ)の橋(はし)を渡(わた)れ 雨(あめ)と雲(くも)が逃(に)げて 太陽(たいよう)ひとまわり アンパンマンは君(きみ)さ 勇気(ゆうき)をだして アンパンマンは君(きみ)さ 信(しん)じることさ ほらかがやくよ 君(きみ)はやさしいヒーローさ 楽(たの)しいこといっぱい でもさびしくなったら 愛(あい)すること愛(あい)すること すてないで そうさ鳥(とり)も花(はな)も遊(あそ)ぶ みんな君(きみ)が好(す)きさ 涙(なみだ)なんかふいて 大空(おおぞら)飛(と)びだそう アンパンマンは君(きみ)さ いつでも君(きみ)さ アンパンマンは君(きみ)さ かわいい君(きみ)さ ほらときめくよ 君(きみ)はやさしいヒーローさ アンパンマンは君(きみ)さ 元気(げんき)をだして アンパンマンは君(きみ)さ 力(ちから)のかぎり ほらキラめくよ 君(きみ)はやさしいヒーローさ
15,15,NEWSニッポン,"
NEWS",KNM PROJECT,馬飼野康二,To north！ To east！ Go west！ Go south！ One Two Three Four Five Six Seven It's big news！ FLY AWAY！ FAR AWAY！ 翼ひろげて GO AHEAD！ DO YOUR BEST！ 虹を掴もう 空高くかかげ 指ひろげつくる ピースのサイン 眩しいNEWS創り出せ！ 悲しい時は 思い出して 心に太陽 誰にでもあるはず 孤独の中で 悲しまないで 優しい光に 見守られてるから 独りじゃないよ 近くに居るよ 元気出して 勇気もって 駆け出そうよ FLY AWAY！ FAR AWAY！ 見上げる星に GO AHEAD！ DO YOUR BEST！ 願いを込めて 生きている強さ 感じてる心 ピースのサイン 世界へNEWS伝えよう！ NEWS！ 奇跡起こせ！夢を乗せ動き始めてる NEWS！ 愛と勇気！世界中に向けて伝えよう We can do it！ FLY AWAY！ FAR AWAY！ 翼ひろげて GO AHEAD！ DO YOUR BEST！ 虹を掴もう 空高くかかげ 指ひろげつくる ピースのサイン 勝利を目指そう 空高くかかげ 指ひろげつくる ピースのサイン 眩しいNEWS作り出せ！ 誰にも負けない 勇気を胸に君に贈るNEWS
16,16,愛されるより 愛したい,"
KinKi Kids",森浩美,馬飼野康二,“どうだっていいじゃんそんなこと なんだっていいじゃんそんなこと” おきまりのつよがりを…言っても 道で拾ったチラシで 紙ヒコーキ飛ばした 気持ちとは反対へ 飛んでく ギリギリのオトナたちが 積み重ねてるすべてのもの 壊さなきゃ新しい明日は来ない 愛されるよりも 愛したい真剣(マジ)で いいかげんで頼りなくて そんな僕だけど 悲しみの天使 まだ迷うけれど 青い風に吹かれながら 走りつづけたい “泣いたっていいじゃんつらいなら 逃げたっていいじゃんつらいなら” はずかしいことじゃない…だけどね シャツを脱ぎ捨てた胸 なんだか急にカラッポで 鏡に映る僕は…誰だろう? 初めからカッコのいい オトナになんてなれないなら 怖がらずそのドアを開けばいいだけ 愛されるよりも 愛したい真剣(マジ)で 傷ついて立ち止まって そんな僕だけど 泣き顔の天使 あの空の下へ つよい風に向かいながら 走りつづけたい 扉の向こうに 光る空はあるの? 分からなくてつかめなくて そんな僕だけど 悲しみの天使 まだ迷うけれど 青い風に吹かれながら 走りつづけたい 愛されるよりも 愛したい真剣で 傷ついて立ち止まって そんな僕だけど 泣き顔の天使 あの空の下へ つよい風に向かいながら 走りつづけたい
17,17,無限大,"
関ジャニ∞",MASA,馬飼野康二,友情 真実 夢 希望 しあわせ 笑顔 勇気 旅立ち 喜び悲しみ全て分け合って一緒に歩いて来た道 偶然じゃないこの出会い 色んな事感じ生きてきた日々 溢れる思いは無限大!! 出会えた事が嬉しくて なんだか涙が溢れてく 心に元気無限大 大切な仲間 幾つもの季節が流れて 幾つもの切なさ知った つまづいて転んだ時には 限りない弱さを知った 夢に描いた世界はいつも 思うほど簡単じゃなくて こぶし握って積み上げた日々は たからものにかわるさ 心の根っこそっくりで 色んな思いを分け合った 溢れる夢は無限大 大切な仲間 取り留めのない話で笑い合えた あどけない透明な毎日 この街が与えてくれたもの かけがえのない希望の架け橋 幾つもの夜を見つめて 幾つもの寂しさ知った 悲しくて涙がこぼれて 限りない優しさ知った 思い焦がれた世界はいつも 遠くに感じたけれど 心繋いで駆け抜けた日々は かけがえのないものさ 生きてることが嬉しくて なんだか心が熱くなる 溢れる思い無限大 永遠の仲間 ありがとう優しさ ありがとう切なさ ありがとう全てに 忘れないきっと 出会えた事が嬉しくて なんだか涙が溢れてく いつしか遠く離れても 確かな絆は途切れない 心に元気無限大 大切な仲間 My dear friends... ありがとう
18,18,絆,"
亀梨和也",亀梨和也,馬飼野康二,先のことどれ程に 考えていても 本当のことなんて 誰にも見えない 空白?心に何かがつまって あやまちばかり くり返してた 一歩づつでいいさ この手を離さずに 共に歩んだ日々が 生きつづけてるから ボロボロになるまで 引きさかれていても あの時のあの場所 消えないこの絆 流れゆく時間の中 失わぬように すれ違いぶつかった本当の気持ち 心に染みてく あいつの想いに 出逢えた事が 求めた奇跡 立ち止まることさえ 出来ない苦しさの 中に見えた光 つながっているから うそついたっていいさ 涙流していいから あの時のあの場所 消えないこの絆 一歩づつでいいさ この手を離さずに 共に歩んだ日々が 生きつづけてるから ボロボロになるまで 引きさかれていても あの時のあの場所 消えないこの絆
19,19,明日に向かって,"
嵐",大塚雄三,馬飼野康二,明日に向かって生きていくのさ 先の事なんて誰も知らない 僕らの明日へ飛んで行くのさ こうして今日もいい日になれ I'm so feel 君といればあの夏を ふと思い出したよ どんな些細なことだって 大袈裟に話した これからもきっと こうしていられるよって そう感じているのは 君だけじゃないよ 明日に向かって生きていくのさ 先の事なんて誰も知らない 僕らの明日へ飛んで行くのさ こうして今日もいい日になれ I'm so feel いつものようにはしゃぎまわって 疲れたねと君が その笑顔が僕にはきっと 何よりの宝さ この時がずっと 止まればいいなんてね そう感じているのは 君だけじゃないよ 僕らそれぞれの道を行くけど 必ずどこかでつながってるんだ だから時々は話し合おうよ 負けそうな時は思い出して It's all right 明日に向かって生きていくのさ 先の事なんて誰も知らない 僕らの明日へ飛んで行くのさ こうして今日もいい日になれ I'm so feel 僕らの明日へ飛んで行くのさ こうして今日もいい日になれ I'm so feel
20,20,浪花いろは節,"
関ジャニ∞",MASA,馬飼野康二,ソラ!ヨイトコサッサノ ヨイサッサ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! いろはにほへと ちりぬるを わかよたれそ つねならむ ういのおくやま けふこえて あさきゆめみし えひもせす ん ナニワ友あれ輪になって 心ウキウキ踊りましょう あの人もこの人も 花の浪花のいろは節! いうがごときこの世の楽しみもすぐに散ってしまう 人の世の移り変わりを誰がとどめられようか ナニワ何でもめげません あっち立てればこっち立たず お勤め毎日ご苦労さん 浪花根性ド根性! ソラ!ヨイトコサッサノ ヨイサッサ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! いろはにほへと ちりぬるを わかよたれそ つねならむ ういのおくやま けふこえて あさきゆめみし えひもせす ん ナニワ無くとも空見上げ 笑い飛ばして生きましょう 幸せさん飛んでくる 笑う角には福が来る! 迷いと苦しみの山々を今越え果てて すでに浅はかな夢見ず快楽に溺れもせず ナニワ友あれ生きてます 皆さんの愛にいかされて ありがとさん感謝して 浪花ホンマに好きやねん! ソラ!ヨイトコサッサノ ヨイサッサ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! ハア エンヤコラセノ ドッコイセ! 色は匂えど 散りぬるを (いろはにおえど ちりぬるを) 我が世誰ぞ 常ならむ (わがよたれぞ つねならむ) 有為の奥山 今日越えて (ういのおくやま きょうこえて) 浅き夢見し 酔ひもせず (あさきゆめみじ えいもせず)
21,21,大阪レイニーブルース,"
関ジャニ∞",MASA,馬飼野康二,あれはそう三年前の凍えそうな雨の夜 街角でつま弾くギター もの悲しい恋の歌 その歌に涙ぐんでたそれがなんだか愛しくて アイツにただ笑ってほしくて恋が始まった 寄り添って二人 生きていた 運命さえ 感じてた 季節は変わっても二人は 一緒だと信じてた かえられへん 戻られへん あの頃の二人に あれほどオマエ愛してた 大阪レイニーブルース あれはそう一年前のちょうどこんな雨の夜 アイツが消えて遠い空へ行っちまった夜 そしてまたこの街の何処かで聴こえるあの歌 降り止まぬ心の雨に残されたクロスひとつ 季節は巡り 命巡り また会えると 信じてる せやけどこんな雨に独りじゃ せつなくて歩けない 忘れられへん 離れられへん アイツのぬくもり 壊れそうだよ悲しみに 大阪レイニーブルース 動き始めた夜明けの街 それでも朝はやって来る この街で ずっと せつなさ抱いて かえられへん 戻られへん あの頃の二人に あれほどオマエ愛してた 大阪レイニーブルース 忘れられへん 離れられへん アイツのぬくもり 壊れそうだよ悲しみに 大阪レイニーブルース
