,Song,Artist,Lyricist,Composer,Lyric
0,桜,"
豊永利行",河口京吾,河口京吾,僕がそばにいるよ 君を笑わせるから 桜舞う季節かぞえ 君と歩いていこう 僕がそばにいるよ 君を笑わせるから 桜舞う季節かぞえ 君と歩いていこう まぶしい朝は何故か切なくて 理由をさがすように君を見つめていた 涙の夜は月の光に震えていたよ 二人で 僕がそばにいるよ 君を笑わせるから 空のない街抜け出し 虹を探しに行こう いつもそばにいるよ 君を笑わせるから やわらかな風に吹かれ 君と歩いていこう 君と歩いていこう 君がいる 君がいる いつもそばにいるよ
1,桜,"
Trefle",Junxix,Junxix・GA-HA-,桜、君が幸せならいいなあ 誰よりもあの日好きだった 忘れる事など出来ないからせめて過ぎた想い出だと唄うよ いなくなるわけなんてないって どっかで高を括ってた きっとたくさん我慢させたね 今更遅いとわかってるけど 格好悪くても言えば良かったなあ 君がいなくちゃ淋しいに決まってるって 桜、君を想い出すと何故か「ごめんね」しか浮かばない 不器用に笑う横顔をあの日抱きしめて 泣かせてあげたかった 君が好きだった映画館が 来月なくなるって聞いたから 最後だし一緒に行こうなんてさ 言ったら何て言われるだろう 変わらないのは僕だけで悔しい どうせなら君も変わらなければいいのに 桜、君はいつもそうやって片目つぶって笑うんだ 優しくて僕には勿体ない程素敵な声で名前を呼んでよ 愛とか永遠とか無縁だった 空を見ても遠くて届かなくて淋しいだけだった 桜、君を想い出すと何故か「ごめんね」しか浮かばない 不器用に笑う横顔をあの日抱きしめて 泣かせてあげたかった 桜、君はいつもそうやって片目つぶって笑うんだ 優しくて僕には勿体ない程素敵な声で名前を呼んでよ
2,桜,"
中澤卓也",小渕健太郎・黒田俊介,小渕健太郎・黒田俊介,名もない花には名前を付けましょう この世に一つしかない 冬の寒さに打ちひしがれないように 誰かの声でまた起き上がれるように 土の中で眠る命のかたまり アスファルト押しのけて 会うたびにいつも 会えない時の寂しさ 分けあう二人 太陽と月のようで 実のならない花も 蕾のまま散る花も あなたと誰かのこれからを 春の風を浴びて見てる 桜の花びら散るたびに 届かぬ思いがまた一つ 涙と笑顔に消されてく そしてまた大人になった 追いかけるだけの悲しみは 強く清らかな悲しみは いつまでも変わることの無い 無くさないで 君の中に 咲くLove 街の中見かけた君は寂しげに 人ごみに紛れてた あの頃の 澄んだ瞳の奥の輝き 時の速さに汚されてしまわぬように 何も話さないで 言葉にならないはずさ 流した涙は雨となり 僕の心の傷いやす 人はみな心の岸辺に 手放したくない花がある それはたくましい花じゃなく 儚く揺れる 一輪花 花びらの数と同じだけ 生きていく強さを感じる 嵐 吹く 風に打たれても やまない雨は無いはずと 桜の花びら散るたびに 届かぬ思いがまた一つ 涙と笑顔に消されてく そしてまた大人になった 追いかけるだけの悲しみは 強く清らかな悲しみは いつまでも変わることの無い  君の中に 僕の中に 咲く Love 名もない花には名前を付けましょう この世に一つしかない 冬の寒さに打ちひしがれないように 誰かの声でまた起き上がれるように
3,桜,"
中村舞子",河口京吾,河口京吾,僕がそばにいるよ 君を笑わせるから 桜舞う季節かぞえ 君と歩いていこう 僕がそばにいるよ 君を笑わせるから 桜舞う季節かぞえ 君と歩いていこう まぶしい朝は何故か切なくて 理由をさがすように君を見つめていた 涙の夜は月の光に震えていたよ 二人で 僕がそばにいるよ 君を笑わせるから 空のない街抜け出し 虹を探しに行こう いつもそばにいるよ 君を笑わせるから やわらかな風に吹かれ 君と歩いていこう 君と歩いていこう 君がいる 君がいる いつもそばにいるよ
4,桜,"
長渕剛",長渕剛,長渕剛,スピード違反でパクられちまった シャクに触ったからヘルメットを小突いてみた ふんぞり返ったら切符切られちまい 目黒警察署でこっぴどく絞られた あんな風に出来たらいいな あんな男になれたらいいな、なんて 人の事をうらやんでばかりの あゝ俺がいる 山手通りから槍ヶ崎を登り 代官山をぬけ鉢山交番を右へ 渋谷のど真ん中一人突ったったまんま 待っても待ってもまだ来ぬお前待ちくたびれてる 携帯電話の音が気になる だけど電源切る度胸も無いなんて 約束の時間あきらめきれない一人ぼっちの俺がいる 目黒川沿いの桜並木 狂い咲きした夜桜よ 桜、桜、咲き乱れ 散るはかなさが悲しくて 深夜4時 24時間牛丼かっ喰らい あの時二人で見た月は確かに丸かった 100円パーキングに車を停めた トボトボ歩く一人の帰り道 ひらひら舞い散る桜を仰ぎ見て 「もう一度振り出しに戻ろう」と風がささやいた あんな風に出来たらいいな あんな男になれたらいいな、なんて 「人の事をうらやむのはよそう」と あゝ月が笑った 目黒川沿いの桜並木 狂い咲きした夜桜よ 桜、桜、咲き乱れ 散るはかなさが悲しくて 深夜4時 24時間牛丼かっ喰らい あの時二人で見た月は確かに丸かった 目黒川沿いの桜並木 狂い咲きした夜桜よ 桜、桜、咲き乱れ 散るはかなさが悲しくて
5,桜,"
ななみ",ななみ,ななみ,深い眠りの呼吸 息吹くその時を待ってる 君は自分の美しさを 今はまだ知らない サクラよサクラ その目を覚まし 小さな蕾が今開くよ ヒラヒラ 刹那に咲く花よ どこまでも高く舞い上がれ 鮮やかに モノクロの空に君だけの色を描こう 明日の空はきっと美しい 深い銀色の世界に 一人 心が凍えても 君が落とした雫は まだ見ぬ色となる サクラよサクラ 強く根を張り 芽吹くその日まで君らしくあれ ヒラヒラ 刹那に咲く花よ どこまでも高く舞い上がれ 鮮やかに モノクロの空に君だけの色を描こう 明日の空はきっと美しい もし風に身を剥がされても どんなに冷たい夜風にさらされても 君だけの花を枯らす事はしないで 凛とただ 咲き誇れ ヒラヒラ 刹那に咲く花よ どこまでも高く舞い上がれ 鮮やかに モノクロの空に君だけの色を描こう 明日の空はきっと美しい 咲き誇る君は美しい
6,桜蕾～サクラ～,"
西田エリ",西田エリ,青野ゆかり,繰り返す毎日 時代に流されても 僕達はそれぞれに ここまで歩いてきた 時には傷ついて からっぽの心も 信じてる 願いだけ そっと握りしめて 自分の居場所探して 立ち止まることもあるよ いつだって変わらない 胸の奥で震えてる 心のドアの向こうに 蕾だけど 咲き誇る日を 誰よりも待っている 花があることを 悲しい物語 その続きはいつも 微笑みに出会える そんな気がしてたから ためらうことばかり 空回りだけれど ゆっくりと 手を伸ばし 空にかざしてみる 大切な気持ちさえも 時には見えなくなるよ いつだってそうだから 君も１人じゃないから 不器用なままでいいよ 今は蕾 あの日探した 桜花咲かそう やがて来る春までに ねえ 満ち足りた 時間の中で僕は どれくらい自分に正直で いられるのだろう Ah～ 大切な気持ちさえも 時には見えなくなるよ いつだってそうだから 君も１人じゃないから 不器用なままでいいよ 今は蕾 あの日探した 桜花咲かそう やがて来る春までに
7,桜,"
Hi-Fi CAMP",KIM,Hi-Fi CAMP,「またな」って言って 別れた昨日 晴れ渡る空の下 旅立つ この日が待ち遠しい訳では無かった 好きだったはずの 明日って言葉 こんなに切ないのは 二度とは戻らぬ 日々の意味にやっと気付いたから 辛い事や悲しい事選んで 思い出せたら いっそ楽なのに 楽しかった想い出ばかりが この別れを辛くさせてく 忘れはしないよ どんな一日も 宝物だったことを 悲しみも、迷いや不安も 全て話せた 君にだけは 沢山の言葉から 一つだけでいい これだけは君に伝えておかなきゃな 君が居てくれたから 僕は沢山笑えました 今だけでいい、真面目に聞いてくれ 「ありがとう」 好きだったはずの 舞い散る桜 こんなに切ないのは それぞれ旅立つ 僕らと同じように思えたから いつも隣でバカやって笑って いつも隣で真剣に泣いて 本気でぶつかり合えた分だけ サヨナラに堪え切れなくなる 変わりはしないよ 離れていようと いくら時が過ぎ去ろうと 十年後、二十年先も 子供みたいに はしゃいでいよう 守るモノが出来たら 一番最初に 写真付きで君にちゃんと伝えるから 約束を沢山しよう 楽しみで未来を飾ろう 寂しいけど 涙も滲むけど 旅立とう 忘れはしないよ どんな一日も 宝物だったことを 悲しみも、迷いや不安も 全て話せた 君にだけは 沢山の言葉から 一つだけでいい これだけは君に伝えておかなきゃな 君が居てくれたから 僕は沢山笑えました 今だけでいい、真面目に聞いてくれ 「ありがとう」 寂しいけど 涙も滲むけど 旅立とう
8,桜,"
BUNNY THE PARTY",小渕健太郎・黒田俊介,小渕健太郎・黒田俊介,名もない花には名前を付けましょう この世に一つしかない 冬の寒さに打ちひしがれないように 誰かの声でまた起き上がれるように 土の中で眠る命のかたまり アスファルト押しのけて 会うたびにいつも 会えない時の寂しさ 分けあう二人 太陽と月のようで 実のならない花も 蕾のまま散る花も あなたと誰かのこれからを 春の風を浴びて見てる 桜の花びら散るたびに 届かぬ思いがまた一つ 涙と笑顔に消されてく そしてまた大人になった 追いかけるだけの悲しみは 強く清らかな悲しみは いつまでも変わることの無い 無くさないで 君の中に 咲く Love… 街の中見かけた君は寂しげに 人ごみに紛れてた あの頃の 澄んだ瞳の奥の輝き 時の速さに汚されてしまわぬように 何も話さないで 言葉にならないはずさ 流した涙は雨となり 僕の心の傷いやす 人はみな 心の岸辺に 手放したくない花がある それはたくましい花じゃなく 儚く揺れる 一輪花 花びらの数と同じだけ 生きていく強さを感じる 嵐 吹く 風に打たれても やまない雨は無いはずと 桜の花びら散るたびに 届かぬ思いがまた一つ 涙と笑顔に消されてく そしてまた大人になった 追いかけるだけの悲しみは 強く清らかな悲しみは いつまでも変わることの無い 君の中に 僕の中に 咲く Love… 名もない花には名前を付けましょう この世に一つしかない 冬の寒さに打ちひしがれないように 誰かの声でまた起き上がれるように
9,桜,"
BUNNY THE PARTY",河口京吾,河口京吾,僕がそばにいるよ 君を笑わせるから 桜舞う季節かぞえ 君と歩いていこう 僕がそばにいるよ 君を笑わせるから 桜舞う季節かぞえ 君と歩いていこう まぶしい朝は何故か切なくて 理由をさがすように君を見つめていた 涙の夜は月の光に震えていたよ 二人で 僕がそばにいるよ 君を笑わせるから 空のない街抜け出し 虹を探しに行こう いつもそばにいるよ 君を笑わせるから やわらかな風に吹かれ 君と歩いていこう 君と歩いていこう 君がいる 君がいる いつもそばにいるよ
