,Song,Artist,Lyricist,Composer,Lyric
10,Raise Your Hands,"
嵐",SPIN,OLSSON STEFAN BO・NORELL TIM ARNOLD,R U ready 2 raise yr handz ↑ in da air like this? Raise Your Hands! Raise Your Hands! 仮に 生まれた姿 君に 見られそうな夏 Hey! 微妙 Balanceくずれそう ねぇ？ 大人のふりして爽快！ 騒げ！ 隠れてもういいかい？ Hey! Today 全部忘れない？ ねぇ？ Raise Your Hands! すべってもWe Can't Stop! Raise Your Hands! 天まで届くMusic! いいね 先行くMotion ハナを 伸ばした浜辺 Hey! Tonight 全部忘れない？ ねぇ？ 腰にGuru Guruどうだい？ 波が寄せ合うFloor A・B・C・Delight! 踊り続けよう！ 輝きはMoonlight Raise Your Hands! すべってもWe Can't Stop! Raise Your Hands! 天まで届くMusic! 右の方 左の方 後ろの方 前の方 手を両方 上の方向 (×2) 手を掲げ 目を覚ませ この音の海はまだ浅瀬 手を掲げ 目を覚ませ 僕に見せて指の先 爪から肩まで その姿で 陽が照らし出す 愛し合う 朝へ 手を両方 上の方向 Raise your hands in the air like this Raise Your Hands! すべってもWe Can't Stop! Raise Your Hands! 天まで届くMusic! For You and Me! ひとつになるのさ Raise Your Hands! 恋する夏のMusic! Raise Your Hands! Raise Your Hands!
11,ランナウェイ・トレイン,"
嵐",SPIN,KELLY RICHARD O・LITTLE ANTHONY ADRON,"汽車は 闇の中 走った 誰も いない場所 目指して いつの間にか重ねた毎日 振り返らず走ったRailで 何つかんで 何無くした? あの頃の未来忘れそうだね 君をそこから 連れ出して Runaway! 二度と無いこの夏を 駆け抜ける 1・2・3 Lights up! もういいよ 自分だけ 責めないで 同じ 気持ち 感じてる 誰にも言えない悩み抱え 笑いながらココロは傷つき 迷いながら 震えながら でも自分の居場所を探してる 君がいるなら どこまでも Runaway! 小さな花でいいじゃない 負けるな 1・2・3 Lights up! 後ろは向かない方がいい 後悔はあの澄む空に So Keep ya head up,keep ya head up 君がずっと不安でいるなら ぐっとつかんで Sing it! Hey! Ho! Hey! Ho! 君をそこから 連れ出して Runaway! 二度と無いこの夏を 駆け抜ける 君がいるなら どこまでも Runaway! 小さな花でいいじゃない 負けるな 1・2・3 Lights up!"
12,COOL&SOUL,"
嵐",SPIN,吉岡たく,"ARASHI IS COOL ツキヌケル FEELS FUTURE ARASHI IS SOUL ミライヘノマクガアク ARASHI IS COOL ダキシメル FEELS MUSIC ARASHI IS SOUL ナナ NANA…We. 五人で奏でるのは HIP HOP じゃなく 真似し難い様な HIPなPOP right? そして幕開け 第二章 似せてみようなら それは第二号 そう 未開拓地 意外にも 未完の大器を再起動(hi-ho!) 俺らにまず付いてきな(yeah) 風たちがこっち向いてきた(yeah) 頬に気付くとほら水滴が(yeah) 強い風が背から吹いてきた(yeah) 水滴じゃ なくなってくぞ 想定しな 最悪のケースを 手 組もうが吹き飛ばすほどの強風 (未知との遭遇) (君との暴風雨) だから俺にしがみつき なさい守り通すヤツらだと 曰く付き “嵐 探し 辺り 騒がしい その凄まじい 騒ぎ まさに 嵐” (That's right) 山 風 合わせ 巻き起こると皆大慌て いま居合わせる 君 幸せ この歴史を後世に語れるだろう? アマテラスの頃から 俺らは地上の遥か外側 下界に向けて吐き出す 言霊 もう止まない 雨が(yeah) 長く続いたこの夜が明けた(yeah) 君が忘れがちなのであれば(yeah) いちいち記憶に残る 種蒔く(yeah) そう 俺らがあくまで タイトなパイオニア ya so cute 二番煎じ ARASHI IS COOL ツキヌケル FEELS FUTURE ARASHI IS SOUL ミライヘノマクガアク 太陽光に被る雲 “ここ”とかでなく“遥か向こう” 毎十秒近づくスロー 見上げる形 常に頭上 世紀ミレニアム 股にかけ 乗り越えるには高い壁 長い夜明けて 朝になれ 早い風受け喉渇いたぜ 太陽光に被る雲 “ここ”とかでなく“遥か向こう” 毎十秒近づくスロー 見上げる形 常に頭上 世紀ミレニアム 股にかけ 乗り越えるには高い壁 長い夜明けて 朝になれ 早い風受け喉渇いたぜ カラカラカラ喉潤すのには あなた方が必要なの とにかく 眠る体も起き出す すぐに俺たちの事を欲しがる アイドル タイトル奪い取る 快速 “マイク持つアイドル大国”奪い取る HIP POP da hi bi da hi bi to da HIPなPOP star ARASHI IS COOL …HIPなPOP,you don't stop ARASHI IS SOUL  …HIPなPOP star ARASHI IS COOL  ツキヌケル FEELS FUTURE ARASHI IS SOUL ARASHI IS BACK!"
13,ハルカナ約束,"
KAT-TUN",SPIN,モリモトコウスケ,"ナ・ナ・ナ・サ・ク・カ・ナ・ハ・ル・カ・ナ・ヤ・ク・ソ・ク マ・ワ・ル・ナ・モ・ナ・イ・ヤ・ク・ソ・ク いつも誰かにまかせた 何も怖くないEveryday だけど信じられなくて ひとり家を飛び出した キミの声がそこに聞こえたからさ 流れる汗が風に揺れている 走る キミが待つ場所へ あの日 俺たちが信じた夢 刻む ハルカナ約束 街をさまよい疲れて (Oh!Anybody,Oh!Oh!Oh!Everybody) 道に座ってながめた (Dream is sliped away,Oh yah on!) 仮面をつけた大人が 同じ服で歩いてる (Your promise) キミの夢がそこに消えないように (Oh!yeah!Love is what I'm looking for) (I believe your promise,I promise you) あふれる愛が空にはばたいて 回る 終わりのない日々が 信じるキミがついたウソなら そっとココロにしまうよ (I believe your promise,) (But there is no promise forever,baby) あふれる愛が空にはばたいて 回る 終わりのない日々が 信じるキミがついたウソなら そっとココロにしまうよ (I believe your promise,baby) 流れる汗が風に揺れている 走る キミが待つ場所へ あの日 俺たちが信じた夢 刻む ハルカナ約束 回る ハルカナ約束"
14,I LIKE IT,"
KAT-TUN",SPIN,Sean Thomas,"この写真の外側で君 笑った夏の日 砂浜で見た夕日の影 さざ波 寄せて 消える 音の無い夜は カラダが君を求めて眠れない When you touch me Kiss me Next me I need you girl like it Woo like it,like it baby 言葉じゃ足りない 今は Beautiful time I like it こんな近くに When you touch me Kiss me Next me I need you girl like it I like it,like it baby 言葉じゃ足りない 今は Beautiful time I like it I like it I like it あれから時が過ぎて 大人になったつもりでも 出会った頃と 何一つ変わらない 愛って小さいけど 一番大切さ I see that looking in your eyes 誰かと比べなくていいから When you touch me Kiss me Next me I need you girl I like it Woo I like it, like it like it. like it, like baby 言葉じゃ足りない 今は Beautiful time I like it  Ha-woo yeah When you touch me Kiss me Next me I need you girl I like it You know I like it, like it, like it girl 言葉じゃ足りない 今は Beautiful time I like it Uh- And every time I kiss you baby Every time I kiss you girl 二人で 生まれたままで 理想 叶う 未来 今 探して Makes love complete Girl そのまま 君 キレイさ Woo yeah Blueの翼で君の空を飛ぶ Love… Your love… My heart… Woo- Tu tu lu lululu Tu tu lu lululu Tu tu Lu lu Lu lu Lululu Lululu Wow wow When you touch me Kiss me Next me I need you girl like it Kissing me,I'm missing you,Yeah 言葉じゃ足りない 今は Beautiful time I like it 星屑の夜だから When you touch me Kiss me Next me I need you girl I like it You're with me again 言葉じゃ足りない 今は Beautiful time 止められない I like it I like it I like it When you touch me Kiss me Next me You know I like it baby… I need you girl I like it 言葉じゃ足りない 今は Beautiful time I like it Fu fufu When you touch me Kiss me Next me I need you girl I like it…"
15,ハルカナ約束(DVD ver.),"
KAT-TUN",SPIN,モリモトコウスケ,"ナ・ナ・ナ・サ・ク・カ・ナ・ハ・ル・カ・ナ・ヤ・ク・ソ・ク マ・ワ・ル・ナ・モ・ナ・イ・ヤ・ク・ソ・ク いつも誰かにまかせた 何も怖くないEveryday だけど信じられなくて ひとり家を飛び出した キミの声がそこに聞こえたからさ Your promise. Oh! yeah! Love is what I'm looking for I believe your promise. I promise you 流れる汗が風に揺れている 走る キミが待つ場所へ あの日俺たちが信じた夢 刻む ハルカナ約束 I believe your promise. But there is no promise forever,baby あふれる愛が空にはばたいて 回る 終わりのない日々が 信じるキミがついたウソなら そっとココロにしまうよ I believe your promise,baby 流れる汗が風に揺れている 走る キミが待つ場所へ あの日俺たちが信じた夢 刻む ハルカナ約束 ナ・ナ・ナ・サ・ク・カ・ナ・ハ・ル・カ・ナ・ヤ・ク・ソ・ク マ・ワ・ル・ナ・モ・ナ・イ・ヤ・ク・ソ・ク 回る ハルカナ約束"
16,イチオクノホシ,"
嵐",SPIN,Kazz,イチオクノホシの中の二人 こんな小さな物語は あのとき僕らが出逢わなかったら 今もきっと始まらない 素直に笑顔つくれない 冬の風が吹く坂道 君に話したい言葉が 浮かんですぐ星空へ消えてく 君がたたんだTシャツの 想いに答え探してた 大切なものは君の胸にあることわかった夜 イチオクノホシの中の二人 こんな小さな物語は あのとき僕らが出逢わなかったら 今もきっと始まらない 小さな背中を見送り ため息が白くぼやけた はなれて歩いた人ごみ 見失わないように追いかけた あの日あの場所に君がいた ただそれだけのことなのに 君のいない夜は長すぎて 心で名前を呼ぶ イチオクノホシの中の二人 こんなささやかな偶然が はてしない未来かたちにしていく 「もしも、君に 出逢わなかったら…」 たとえ生まれかわったとしても きっとこの宇宙(そら)に君探す 君が君らしく輝けるために ずっとそばに イチオクノホシの中の二人 こんな小さな物語は あのとき僕らが出逢わなかったら 今もきっと始まらない
17,Lai-Lai-Lai,"
嵐",SPIN,磯崎健史,Lai-Lai-Lai Wow-Wow-Wow Lai-Lai-Lai Wow-Wow Yeah Lai-Lai-Lai Wow-Wow-Wow Yeah 無理はしない主義さ(完全に) 出来るまでやるさ(俺達は) そう簡単にあきらめないよ いくつになっても(根本は) たいして変わらない(もしも) 生まれ変わってもこのライトの下へ 幻ばかり 追いかける世界 すぐに終わりが来るさ 大切なのは揺るがない覚悟 瞬間にありのまま心を見せる Let's Dance All Night たくさんの涙に訳がある 回る回る この星の中 ささやかな 夢のせて 悲しみをのみこんで ここが俺達の信じる場所だから Yeah Lai-Lai-Lai Wow-Wow-Wow Lai-Lai-Lai Wow-Wow Yeah Lai-Lai-Lai Wow-Wow-Wow Yeah 幻ばかり 追いかける世界 すぐに終わりが来るさ 行き着く先が 何処でもいいから 瞬間にありのまま心を見せる Let's Dance All Night 一人じゃないこのまま終わらない 回る回る 毎日の中で ささやかな 夢歌う 寂しさをしまい込んで ここが俺達の信じる場所だから Yeah Let's Dance All Night たくさんの涙に訳がある 回る回る この星の中 ささやかな 夢のせて 悲しみをのみこんで ここに俺達の信じた何かが… Let's Dance All Night 一人じゃないこのまま終わらない 回る回る 毎日の中で ささやかな 夢歌う 寂しさをしまい込んで ここが俺達の信じる場所だから Yeah Lai-Lai-Lai Wow-Wow-Wow Lai-Lai-Lai Wow-Wow Yeah Lai-Lai-Lai Wow-Wow-Wow Yeah
18,Oh-E-Oh! 太陽のSalsa!,"
KAT-TUN",SPIN,船山基紀,楽園の匂い 誘われて こんなにも南まで来た あなたがいない夏休み 半分しか私いない ホントは素直な自分を 笑い飛ばして 誰が本当の私を 真っ直ぐ見つめて Oh-E-Oh! 太陽のSalsa! Oh-E-Oh! 明日があるさ! Oh-E-Oh! 太陽のSalsa! 素晴らしいときめきを 歪んだこの世界に 信じるもの あなたしかいない I'm fallin' U Oh-E-Oh! La la la la la la! Oh-E-Oh! La la la la la la! Oh-E-Oh! La la la la la la! Oh-E-Oh! La la la la la la! Oh-E-Oh! 太陽のSalsa! Oh-E-Oh! 明日があるさ! Oh-E-Oh! 太陽のSalsa! 素晴らしいときめきを 歪んだこの世界に 信じるもの あなたしかいない I'm fallin' U
19,Le ciel～君の幸せ祈る言葉～,"
KAT-TUN",SPIN,Akihito,"racontons a nos amis des histoire enchantees Je te n' abondonnerai Jamais alors laisse-toi senuoler エルフの森の中 空を見上げ 風の先に 君の匂い探す 剣をかざして楽園の頂に立つ 地平線に君の街が浮かんだ ラン ラン ラン ラン 二人に星が降りそそぐ もう二度と 夢を止めないで 遠のく意識に 刻む君のイニシャル 落とした涙 紡いでくメロディー やぶれたマントが時の終わりを告げる まぶたの向こうに君の声 聞いた ラン ラン ラン ラン 君に会いに行く そのまま もう少し 恋を止めないで Oui,viens avac moi et ne me quitte pas toi,viens avac moi,j'ai trop besoin de toi Laisse-moi laisse-moi te serrer contre moi Je ne connais rien de toi,ni ton nom ni quel age tu as et pourtant tu ne regrette pas car je te donne Oui,viens avac moi et ne me quitte pas toi,viens avac moi,j'ai trop besoin de toi Laisse-moi laisse-moi te serrer contre moi Je ne connais rien de toi,ni ton nom ni quel age tu as et pourtant tu ne regrette pas car je te donne Yeah! ラン ラン ラン ラン 二人に星が降りそそぐ もう二度と 夢を止めないで ラン ラン ラン ラン 君に会いに行く そのまま もう少し 恋を止めないで racontons a nos amis des histoire enchantees Je te n' abondonnerai Jamais alors laisse-toi senuoler racontons a nos amis des histoire enchantees Je te n' abondonnerai Jamais alors laisse-toi senuoler Oui,viens avac moi et ne me quitte pas toi,viens avac moi,j'ai trop besoin de toi Laisse-moi laisse-moi te serrer contre moi Je ne connais rien de toi,ni ton nom ni quel age tu as et pourtant tu ne regrette pas car je te donne Oui,viens avac moi et ne me quitte pas toi,viens avac moi,j'ai trop besoin de toi Laisse-moi laisse-moi te serrer contre moi Je ne connais rien de toi,ni ton nom ni quel age tu as et pourtant tu ne regrette pas car je te donne"
20,Hero,"
嵐",SPIN,谷本新,You're Hero! 今日も同じ道を走る まだ見ぬ自分探して 雨の朝も 風の夜も まだ夢は続く もうだめだと 思う瞬間はみんな同じ あきらめずに一つずつ Up! Up! Up! Up! 高く 胸を張れ 今こそ君は 本当のHero このフィールドは 君が輝く舞台 ながした涙 超えてここに立つ そのまなざしが 世界に勇気与える Hero You're Hero! 休むことも 止まることも 出来なかった毎日 焦りながら 信じながら 明日の夜明け待ってた 突然には 天才にはなれないから つづけてく少しずつ Up! Up! Up! Up! いつか… 歩き出す あなたの夢は みんなの夢さ 今この時は 君が輝く舞台 ながした涙 超えてここに立つ そのまなざしが 世界に勇気与える Hero You're Hero! 夢を共に追いかけた あの仲間たちは きっと 今もそばにいる 感じる 今こそ君は 本当のHero このフィールドは 君が輝く舞台 ながした涙 超えてここに立つ そのまなざしが 世界に勇気与える Hero あなたの夢は みんなの夢さ ながした涙 超えてここに立つ 今こそ君は 本当のHero そのまなざしが 世界に勇気与える Hero You're Hero!
21,途中下車,"
嵐",SPIN,森元康介,朝もや 旅立ちのホームに ナイショで駆けつけた 見慣れた笑顔が待っていた ジリリ 別れのベルが鳴り 大粒の涙が 真夏の風に消えた 外は晴れ 夢はどこ？めぐり逢うのは誰？ 閉まりかけていたドアの向こう側に見た！ 名前も忘れるほど 遠くなってしまうなら ネクタイをはずし 途中下車したまま この街の思い出が なにげない１日が 守るべき何か そっと包んでゆく つき出す キレイなビルの影 くたびれたＹシャツ 交差点の中立っている 時の流れに追い越され 落ち込んだ午後には あの夏に咲いていたTrue Song 人はなぜ 無いものを 探し続けてるの？ 悩むことさえ忘れかけているMy Life あの日乗り込んだ列車は 行き先もないままに 不器用な呼吸で まだ 走ってゆく 信じることに疲れて １人眠りたい夜 途中下車したまま ゆっくり時が止まる 全ての街に陽が昇る 希望の鐘(ね)を打ち鳴らせ 今信じる勇気が 魂の輝きが 守るべき何か そっと包んでゆく 名前も忘れるほど 遠くなってしまうなら ネクタイをはずし 途中下車したまま あの日乗り込んだ列車は 行き先もないままに 不器用な呼吸で まだ 走ってゆく 走ってゆく
22,Walking in the rain,"
嵐",SPIN,Brian Hobbs・Jany Schella・Christian Svensson,I'm walking in the rain Just walking in the rain 後戻りできないの 雨の午後に虹が架かる 街は僕をおいてく 最高の噂に流されて いつだってためらって歩いてる 履き慣れた靴だって信じられず ウソだってわかってもOKさ I'm walking in the rain Just walking in the rain 後戻りできないの 雨の午後に虹が架かる 街は僕をおいてく 12時の陽ざしに照らされて 何もない一日をもてあます ひとごみに体をすべり込ませ とりあえず波に乗る 季節がゆく 時は止まる 想い出だけが過ぎる 夏の午後に虹が架かる 街は僕をおいてく 自分を信じて Just take a chance 聞き慣れたメロディー Please understand たたんだ傘なんて捨てちまおう 新しい景色も受け入れてこう I'm walking in the rain Just walking in the rain 後戻りできないの 雨の午後に虹が架かる 街は僕をおいてく 季節がゆく 時は止まる 想い出だけが過ぎる 夏の午後に虹が架かる 街は僕をおいてく
