,Song,Artist,Lyricist,Composer,Lyric
0,Night Diver,"
三浦春馬",辻村有記,辻村有記,瞼閉じて映る世界 そこに君がいるならば もういっそこのままでいいや いつまでも忘れられなくて 明日になれば治まるような 胸に突き刺さる棘の行方 知らんふりして見ないようにして 気付いたら戻れないような気がした 昨日も同じ事考えて結局こんな夜過ごして それでも嫌な感じじゃなくて きっと誰も知らない言葉が今僕の中で 渦を巻いてずっとLoop Loop Loop Loopして 吐き出そうと声を出してみてもうまくいかない My heart beats faster Night Diver Night Diver あの頃に戻れるなら僕に何が出来るだろう 多分何も変わらなくて きっと今の僕には変えられない 明日になれば治まるような 胸に突き刺さる棘の行方 知らんふりして見ないようにして 気付いたら戻れないような気がした 昨日も同じ事考えて結局こんな夜過ごして それでも嫌な感じじゃなくて ずっとこのままで良いわけなんてあるはずもない 弱音吐いた夜をLoop Loop Loop Loopして 情けないこの心に生きる理由を与えて My heart beats faster Night Diver Night Diver 記憶の中であの日を思い出す くだらないプライドばっか掲げて 知りもしないくせに適当に過ごしてばっか 呆れられて情けなくて嘘をついてた 数え切れないほどの言い訳を積み重ね 大事なもの失って 流れた涙は夜に落ちた きっと誰も知らない言葉が今僕の中で 渦を巻いてずっとLoop Loop Loop Loopして 吐き出そうと声を出してみてもうまくいかない My heart beats faster Night Diver Night Diver
1,Fight for your heart,"
三浦春馬",Kanata Okajima,Jeff Miyahara・U・Kuraaki・Hori,"錆び付いて 開かずにいた 情熱の扉を キミなら 風を吹き込み 生き返らせる 燃え尽き 崩れ堕ちてく 景色は見て来たよ この運命は やっと見つけた 新たな夜明け Give me a try Don't need a lie Give me a sign 僕だけは信じて Fighting for your heart I'm fighting for your heart Tonight 傷ついた心ならば 癒してあげる 分かち合える二人は 世界を変えるから すべて捨てて 駆け抜けよう Tonight, tonight 綺麗で どこか冷たい 君の瞳の色 大丈夫 もう泣かさない 僕が守るよ Give me a try Don't need a lie Give me a sign まだ遅くはないさ Fighting for your heart I'm fighting for your heart Tonight 傷ついた心のまま 抱き締めたい 許し合える二人は 世界を変えるから 君のすべて受け入れよう Tonight, tonight Feel my love Fighting for your heart I'm fighting for your heart Tonight 傷ついた心ならば 癒してあげる 分かち合える二人は 世界を変えるから すべて捨てて 駆け抜けよう Tonight"
2,YOU,"
三浦春馬",Kanata Okajima,Jeff Miyahara,All the right ones say No All the right ones say No 11 O'clock 汗ばむ部屋 息を潜めて We cross the line We cross the line 首筋 ささやく Words 高まっていく 熱とPulse Cross the line We cross the line So girl Don't waste your time Don't waste your time 過去のヤツらは So far behind 危うい場所へ 案内してよ 激しく Hotter than fire YOU すべては消えて キミと僕だけ 叫ぶまでヤメない YOU 愛が欲しいなら Whatever you want I will give you この夜は終わらせない 噛み締めた 唇 解放してごらんよ I'll lead the way I'll lead the way 漏れる Moonlight 照らす Hips 浮かぶ Silhouette 甘い Curves Lead the way You lead the way So girl Don't waste your time Don't waste your time 見てるのは そう君だけ 好きなトコロ 教えてよ 今まで言えなかった Words 言わせてあげるよ YOU すべては消えて キミと僕だけ 叫ぶまでヤメない YOU 愛が欲しいなら Whatever you want I will give you この夜は終わらせない Love you all my life Need you by my side Baby I'm a winner… YOU すべては消えて キミと僕だけ 叫ぶまでヤメない YOU もっと欲しいなら Whatever you want I will give you この夜は終わらせない
3,You & I,"
三浦春馬",三浦春馬,三浦春馬,はにかんだ君の小さな笑窪に そっと日々の幸せを覗き込む 穏やかな胸に差し込む恋慕に 切なさの意味が根を張り囲う 抱きしめる度に こぼれおちそう You 揺らすほどに And I 撫でるほどに くぐもる あい…あい… You 迫るほどに Feel 注ぐほどに 抑え 呑み込む 今も尚… 頬骨の香りに あなたの寝顔に そっと日々の甘美が滲み出すの 大きな背筋に顔を埋めながら 脈打つ音に目蓋を閉じる 微笑見る度に こぼれおちそう You 添わすほどに And I 合わすほどに くぐもる あい…あい… You 包むほどに Feel 受けるほどに この胸捕まれ 浮遊するの 叫びたい 求めてるその先の言葉 欲しくて堪らない心 焦らされ焦らした 愛の悶え You 愛するほど And I 労るほど くぐもる あい…あい… Feel 交わるほど Us 愛でるほどに 深まる… 互いの愛の調
4,ONE,"
三浦春馬",Kanata Okajima,Kanata Okajima・MEG,夢で逢う度に 声を押し殺していた 触れ合える度に 愛を叫び続けて 溺れるように 求めあっても 二人からしたら 足りないくらい あの頃の僕らにはもう 戻れない それでも 構わない 差し込むヒカリを打ち消す Daybreak 終わる理由が見つからない What you waiting for？ What you waiting for？ 叶えたげる Cuz I know I'll be the one Cuz I know I'll be the one 止められるなら さあ Cuz I know I'll be the one Cuz I know I'll be the one… Cuz I know I'll be the one… いつから僕らは 深い海に沈んで 確かめるように 一つになっていたの 「此処なら平気」と暴れる Craving 世界はとっくに 置いて来た What you waiting for？ What you waiting for？ 見せてみてよ Cuz I know I'll be the one Cuz I know I'll be the one 止められるなら さあ Cuz I know I'll be the one Cuz I know I'll be the one… Cuz I know I'll be the one… いつか失うとしても 駆け引きは永遠の慕情 呼吸 途切れたとしても ハラハラと去り行くだけ 溺れるように 求めあっても 二人からしたら 足りないくらい What you waiting for？ What you waiting for？ 叶えたげる Cuz I know I'll be the one Cuz I know I'll be the one 止められるなら さあ Cuz I know I'll be the one Cuz I know I'll be the one… Cuz I know I'll be the one… 夢で逢う度に 声を押し殺していた
