,Song,Artist,Lyricist,Composer,Lyric
0,桜みち,"
神野美伽",荒木とよひさ,弦哲也,苦労かけたと あなたは言うが 涙は心の 貯金箱 いいの いいのよ 倖せを 今は使わず 貯めておく あなた そこまで そこまで春が いつまでも約束ね 桜みち 昔ばなしに 笑って泣いて 隣りに呼びましょ 想い出を いいの いいのよ 泊まっても みんな一緒に 川の字で あなた 小さな 小さな春が いつまでも仲良しね 桜酒 三度惚れより 何度も惚れて 出来たら百歳(ひゃく)まで 恋女房 いいの いいのよ 頑張らず 肩の荷物は 半分っこ あなた 嬉しい 嬉しい春が いつまでも咲きましょね 桜みち
1,桜道,"
Vipera",石原理酉,石原理酉,自分が今居る場所 なぜここにいる？ 何かに導かれたような そんな気がしていた 胸に手を当てて 瞳閉じてみる やっぱり自分で選んだ道だと気付いたんだ 迷ってた昨日の俺 情けなかった昨日の俺 ハンパな自分にサヨナラしたなら 行くこの道 洗い流せ 昨日のすべて お前の背中見てるから 振り返るな信じた道 ココロのままに突き進め 凍てつく寒さが 桜を咲かせる 誰かに止められる度に 想い強くなるように ココロはいつもそう わかってる正しい方角 覚悟決めれば見えてくる 光射す一本道 桜吹雪舞い散る中を 胸を張って歩いてゆく ココロが決めた桜道 この道をひたすら真っ直ぐに 旅立ちの時 想い出にすがりたくはない 声なき声で叫ぶのが聞こえる もっと強く 前へ 前へ 洗い流せ 昨日のすべて お前の背中見てるから 振り返るな信じた道 ココロのままに 桜吹雪舞い散る中を 胸を張って歩いてゆく ココロが決めた桜道 この道をひたすら真っ直ぐに 前だけ向き歩く 桜道
2,桜道,"
パク・ヒョンビン",リナ・ムーン,小倉良,夕暮れに染まる空 一人歩く道 ただ真っ直ぐに ただ真っ直ぐに 嗚呼 続いていくよ 心に決めた想い 叶える旅路さ 君がいるから 君がいるから 強くなれるよ 歌い続けるのさ 僕を見ててほしい 君に届けたくて ここにいるよ 歌い続けるのさ この先もずっと 傍(そば)にいてほしくて 咲き誇る桜道 見渡す限りに 切なく揺れる 愛しく揺れる 嗚呼 心に沁みる 希望に満ちた未来 目指して進もう 君といるから 君といるから 笑顔になれる 歌い続けるのさ 僕を見ててほしい 君に届けたくて ここにいるよ 歌い続けるのさ この先もずっと 傍(そば)にいてほしくて 歌い続けるのさ 僕を見ててほしい 君に届けたくて ここにいるよ 歌い続けるのさ この先もずっと 傍(そば)にいてほしくて 傍(そば)にいてほしくて
3,桜道,"
福田沙紀",堀下さゆり,千葉直樹,やわらぐ陽射しに 瞳を細めながら 並んで歩いた 坂道を上ってく 右側に手を伸ばしてみても 君はいないんだ わかってる 今頃もう 遠い街で 荷解きを終えたところかな 桜舞い上がり青空に溶けて 胸の奥の想いも溢れさせて 止めたかったよ 泣きたかったよ でも君が大好きだから ふたり追いかけたあの夢の続き 君が精一杯描けるように 笑顔でいるよ 信じているよ 手を振った 君の住む街まで… 水面にゆらめく うす紅色の記憶 冷たい夜には 髪をなでてくれたね 君が内緒で教えてくれた あのカフェがビルに変わったよ メールしようかな でもやっぱり 今度会えた時に言おうかな… 桜舞い上がり春風に揺れて 見馴れた街を刹那に染めてゆく 頑張ってるかな? 笑ってるかな? 今すぐに会いたくなる いつも支えてくれた君のことを これからわたしが支えられる様に 見守ってるから ここにいるから 一粒の 涙こぼれ落ちた 桜舞い上がり青空に溶けて 胸の奥の不安も溶かしてゆく 君を好きだよ ねぇ大好きだよ 今すぐに伝えたいけど 次の春がまた巡り来る頃に 胸をはって君に会えます様に ふたり通った この桜道 抱きしめて 真っ直ぐ歩いてく 君がくれた笑顔を。
4,桜道3,"
ゆず",北川悠仁,北川悠仁,桜道を君と駆け足で登った 振り返った町がほんの少し変わってた 子供の頃転んでひざを擦りむいた ふいにそんな事想い出した春のある日
5,桜道2,"
ゆず",北川悠仁,北川悠仁,桜道を君と駆け足で登った ふと見上げた空が夕焼けに染まってた 通い慣れてたこの坂道が やけに懐かしく想えた春のある日
6,桜道 '74,"
マイ・ペース",山平和彦,森田貢,青い街に 遠い線路の音 白い道を嘘のような タクシーが走って行く 追いかけるように 風が空を洗う 身震いして 僕らは肩を抱き合った 僕らの 頬はもう冬の色 僕は君を見つめていたのではなく 見つめていたのは 時だった 桜道に 朝がくる 鳩が空を大きく 飛んだとき 君は泣いた 僕は空を見あげる 空は大きい 気が遠くなるほど 僕は君を見つめていたのではなく 見つめていたのは 時だった 桜道に 朝がくる
7,桜MISSION～プリキュアリレーション～,"
北川理恵",青木久美子,小杉保夫,魅惑ミワクルミラクル 花咲く言の葉 ひらり桜のミッション 百花繚乱 豪華絢爛 めっちゃプリキュア セレクション！ アチコチ怪我して 弱気になるよね…だけど 泣いてる友だち 放っとけない Go！Go！Go！ 傷つく前から 逃げたらオトメが廃(すた)る 未知への扉を さぁ開けて！ はらり枝垂れ桜 こころ映す鏡 逆風なんかに 負けたくない 余力なんてない いつも全力 全身全霊 行っちゃいましょ！ キララキラリラ 凛々しい 覚悟の傷痕 アリトアラユル 涙は 喜ぶ笑顔のためにある 魅惑ミワクルミラクル 一喜一憂 一致団結 めっちゃプリキュア リレーション！ 誰かの背中に 隠れるわたしは居ない あなたのチカラに なりたいから Go！Go！Go！ 握ったコブシの 強さは決意の証(あかし) 封印を解いて さぁ行くよ！ 1人1人が今 希望(ひかり)だと気づいた 色は違えど 美しい メガ倍速で ギガ高速で 全速力で ハモっちゃお！ キララキラリラ 眩しい 小さな約束 ハナモアラシモ 乗り越え 深まり近づく友が居る 魅惑ミワクルミラクル 1歩踏み出し 100歩前進 めっちゃプリキュア リレーション！ 次の生命(いのち)のため 花は散りまた咲く 今日は明日へ 続いてる あなたとわたし 手と手をつなぎ 桜のように 咲いちゃいましょ！ キララキラリラ 煌く 勇気が目印 アリトアラユル ヒカリは 愛する人から生まれるの キララキラリラ 凛々しい 覚悟の傷痕 アリトアラユル 涙は 喜ぶ笑顔のためにある 魅惑ミワクルミラクル 百花繚乱 豪華絢爛 勇気凛々 元気ハツラツ 一喜一憂 一致団結 めっちゃプリキュア リレーション！
8,桜見る運命,"
堀江由衣",有森聡美,矢吹俊郎,あなたと歩く この道には 分かれ道など 訪れないでしょう 見上げればSAKURAの花が 頬を染めて 愛のコトバ聞いてる ほら、耳を傾けて ずっと愛して求め合う 二人は時代(とき)を越えて ずっと一緒に手を繋ぎ 離れないの 運命も 離せない… あなたといると 雨音まで 優しく響く メロディーになるの 雨上がりSAKURAの花が 導いてる どこまでも続く道 ほら、未来に向かって 今を生きている愛し合う 二人は今日を越えて 明日(あす)も一緒に手を繋ぎ 日々を重ね 運命も 乗り越えて… あなたに逢うために 私、生まれて来た ずっと愛して求め合う 二人は時代(とき)を越えて ずっと一緒に手を繋ぎ 離れないの 運命も 離せない… 愛してる
9,桜見る季節,"
熊木杏里",熊木杏里,熊木杏里,たくさんの人の たくさんの夢が 混ざり合い 希望に変わる 風によぎった あなたの声に 私は今 呼び止められた 幾つもの日々が それぞれに今 旅立ちの唄を歌ってる 乗り越えるのは自分なんだって あなたはそう 駆けだしてゆく 桜の下をゆく 春の足音には 明日へ向かう人の香りがして 泣いてしまったって 歩き出すんだって 私にささやくよ 桜の色に舞う 薄紅色の時 未来が開いて花になって 変わらないんだって でも変わるんだって 季節をあなたはくれた人 なくしたものと 手にするものは いつも同じではないんだろう 目が覚めるたび 振り出しになる 今日が今 始まり出した 傷つきながら あなたは笑う だから私も強くなろう その先にある自分の顔を 幸せにしてあげればいいんだ 桜を見るたびに ひとつ大人になる 生きることは上手じゃないけど せめて悩んだって せめて悔やまずに 手のひらに掴むよ ありがとうに寄せた あなたへの気持ちは 自分へのメッセージになって やさしくなったって 弱さじゃないんだって 季節の意味をくれたから
