,Song,Artist,Lyricist,Composer,Lyric
10,言えなくても…,"
LISA",LISA,LISA,海風に抱かれながら 記憶を辿った 君に出会えたことで 私は救われていた 過去の人を忘れられず 君の優しさから逃げていた 恋するの怖いから 壊れるのもう嫌だから わざと君を遠ざけていた 寂しくてしょうもないのに 透きとおる空の色と 君が重なる 陰に隠れた私を 光で照らしていた 信じてくれて、待っててくれて、ありがとう その想い今 愛に変えて 大丈夫だよ 踏み出せるよ 気付いたの そばに欲しい 不器用な私だけどゆっくり 愛してもいいですか その胸に飛び込むから 離さないで 抱きしめて 痛み全て消えてゆくから そのままで 何よりも 感謝してる 誰よりも 愛してゆける まっすぐに言えなくても
11,イケナイ女,"
LISA",LISA,LISA,鏡に写る 訳分かんない物体 今日も中身のブスに問いかける 太り具合い 小さい具合い いい味出してんじゃない ここちいい微妙がいい 欲望は満たせてるし バランスはとれてる 愛のあるセックスより ストレートがいい 引きずるのはなし ウザイのはホント大嫌い 私がヤケドをしなきゃいい話 何度も同じようにRespectを粉々に壊されると こんな怪獣が創られる 愛という薬を乱用するくらいなら イケナイ女で上等 ハンパな女ですどうも 罪な想像で暴走 いけないトンネル今夜も誰かの指が鳴らす 何が男女平等だ キレイ事言ってんな 女はいつも受け身で社会の餌食 お前が笑ってんな ここのルールは逆だ 計算通りっておもしろい 踊らされてるような演技も バッチリ シナリオ通り senselessな男に心を監禁させない イケナイ女で上等 挑発的な奴ですどうも Bedの上でストレス消耗 いけないトンネル今夜は誰と遊ぶ? 黒い鎧に身をまとった女は 満月の夜に祈りを捧げる 煩悩だらけの意識が本能を騒ぎたてる イケナイ女で上等 ひねくれ根性ですどうも かわいくない存在で結構 いけないトンネル悪い子ね イケナイ女で上等 ハンパな女ですどうも 罪な想像で暴走 いけないトンネル今夜も誰かの指が濡らす
12,It's On,"
LISA",LISA,LISA,"Woh, don't you think yo getting close Smoothに“hey baby”は もう Getしたつもりなの？ Tryin' to steal my night away Oh, hunter むき出しは 獲物 逃す Case ほら スピーカーの前から move 突っ立ってて 見つめるだけなら そう、ずらり ひきつれた homies との時 何よりもspecial so まさか 奪う気じゃないでしょ no, no Oh, 夜は確実にこっちのほう, pace 今から 高まる傾向 Offから モードを switch it on, oh And it's on, get down everybody And it's on, スキなフロアで And it's on, 騒ぎたい weekend And it's on, party is on… And it's on, brake かけないで And it's on, 音にまかせて And it's on, はじ から はじへ And it's on, party is on for me Woh, name & number, mail アド しつこく 聞いても 相手にするわけないでしょ！ I wanna dance my night away Woh, 耳元でsweetな 声でおとす case ほら 気つかうなら, respect, 流れてる音上がる songだし そう、遊び極めてる homiesと 気楽に過ごすよ All night long 言葉をdanceに change dem' thoughts, oh And it's on, it's on everybody And it's on, ここのフロアで And it's on, つきぬける feelin' And it's on, party is on… And it's on, let me see you raise it And it's on, go on, リズムにのせて And it's on, はじ から はじへ And it's on, party is on for me musics' everywhere, it don't stop (日々のheavy thoughts 溶かしてゆく precious time) musics' in the air, it won't stop (ただ自由 is all I want, I just wanna kick it) So just folla, da beat is gon' groove for you on da floor, Ready？ let me see you move now drop lower, 見せつけて shake dem tools on da floor, go sister, go brother Just holla, when you know yo song is on, c'mon holla 止めないで your groove now drop lower, 見せつけて shake dem tools on da floor, go sister, go brother And it's on, get down everybody And it's on, スキなフロアで And it's on, 騒ぎたい weekend And it's on, party is on… And it's on, brake かけないで And it's on, 音にまかせて And it's on, はじ から はじへ And it's on, party is on for me And it's on, it's on everybody And it's on, ここのフロアで And it's on, つきぬける feelin' And it's on, party is on… And it's on, let me see you raise it And it's on, go on, リズムにのせて And it's on, はじ から はじへ And it's on, party is on for me"
13,inspiration,"
LISA",LISA,LISA,短い人生の中で あなたをどれくらい知れるのだろう 友達のままじゃ知り尽くせないから 勇気決めてブレイクしてみようと でもタイミング重視の私にとって いつまでたっても、あと一歩で、あのね 聞いて！ 私の心はあなたにinspiration 切ない思いに灯してillumination 世界が大きく私が小さくても 私の心はあなたでいっぱいですよ I LOVE YOU あれこれsimulationした結果 やっぱり届くのは私らしい言葉 この壁越えれば、とまどいはれると 悟ってから半年も過ぎてる そう、そうだよね、ベストな状況って 待ってても来ないし、賭けにでるよ、だから聞いて！ あなたの心をノックするlove vibration こんなにもそばに欲しいほどsensational スキですスキです感じた事ないくらい あなたの心を私でいっぱいにしたい あなたのハートへ送るimagination たかまる気持ちはとめどなくhi-tension スキですこれ以上かかえきれないほど 私の心はあなたでいっぱいですよ 私の心はあなたにinspiration 切ない思いに灯してillumination 世界が大きく私が小さくても 私の心はあなたでいっぱいですよ I LOVE YOU
14,Winter Sky,"
LISA",LISA,LISA,"夜空に散りばめられた stars まばたきを忘れてキラキラ ラジオから流れる heavenly songs 込み上げる想い is all about you キミをなくして it's the 1st 冬 呼び覚ますぬくもり missing you 輝く街にあふれる記憶 思い出でしか会えない夜 同じ夢を見つめた日を もう抱きしめられない たまらなく会いたい 切なく舞い落ちる雪は キミを忘れていない tear drops ほほにあたり 溶けてくのは キスだと見上げた winter sky 巡り続けるこの季節に いつしか言えるのかな good bye I love you forever, I love you forever 君が恋しいよ winter sky... may you be blessed, forever and forever more... 星を掻き分け探すよ love 天使が見守る歌声に 祈りをのせたら届くかな 果てしなくやさしいメロディー あの時もっと 愛せていればと 胸が張り裂けそう  そのもとへ帰りたい 切なく舞い落ちる雪は まるで心を濡らす tear drops 目を閉じれば つながる空 君に恋をした winter sky 巡り続けるこの季節に いつしか言えるのかな good bye I love you forever, I love you forever あの日に戻して winter sky... may you be blessed, forever and forever more... 駆け足で進んで行く everyday 気持ち ペースに乗り切れなくて 気づいてから もう遅すぎた 欲しい your love, それじゃなきゃ これからは君がいない lonely days 凍えるハート 諦められなくて もどかしいよね、すごく悲しくて 欲しい your love, 君じゃなきゃ 切なく舞い落ちる雪は キミを忘れていない tear drops ほほにあたり 溶けてくのは キスだと見上げた winter sky 巡り続けるこの季節に いつしか言えるのかな good bye I love you forever, I love you forever 君が恋しいよ winter sky... may you be blessed, forever and forever more..."
15,永遠,"
LISA",LISA,LISA,この手を離さずに 永遠に 惑星滅びても 呼吸してる 命を吹き込むよ あなたに 世に生 受けた日から 愛してる 死んでしまったあとも 愛してる ○を描くよう 輪廻転生、生まれ生まれても 愛してるよ Ah、大地が壊れ 海が 地球からこぼれ 月が昇らなくても 消えない火はここにあるから 心臓 鼓動 あなた、私の未来をあげます 全てなくしても あなたのそばにいたいから 確かめ合っていいよ 何億年も 神の軌道に乗って 誓いを 枯れた木から実がなり 落ちて落ちても愛してるよ Ah、遠ざかる空 雨が土を見捨てて 星が隕石 叩き付けても あなたを守るから 想像 心 あなた 愛してやまない だから 先に私が 何かになって待ってるから あなたを包む この腕が弱くなっても 恐れないで 何もかも 変わらないよ ついてゆくよ ここから向こうの世界、世界へ Ah、大地が壊れ 海が地球からこぼれ 月がそっぽむいても 消えない火 裏切らないから 心臓 鼓動 あなた、私の未来 捧げます 全てなくしても あなたを抱いていたいから 遠ざかる空 雨が土を見捨てて 星が隕石 叩き付けても 守ってるから 想像 心 あなた、愛しくてやまないだから 先に私が 生まれ変わって待ってるから 永遠に 生きてる… 永遠に 愛してる…
16,Eternal Flame,"
LISA",Susanna Lee Hoffs・BillySteinberg・Tome Kelly,Susanna Lee Hoffs・BillySteinberg・Tome Kelly,"Close Your eyes, give me your hand, darling Do you feel my heart beating Do you understand Do you feel the same Am I only dreaming In this burning an eternal flame I believe it's meant to be, darling I watch you when you are sleeping You belong with me Do you feel the same Am I only dreaming Or is this burning an eternal flame Say my name sun shines through the rain A whole life so lonely And then you come and ease the pain I don't want to lose this feeling"
17,Angel feat. ZANE,"
LISA",LISA・Rap詞：ZANE,LISA・EIGO,"lately うつむいたまま 沈んでいた日々 your smileに 出会え 輝きを取り戻した baby 君は私を照らす光 止まらない ノイズをメロディーに変えた true love 傷を負った broken heart その口づけが 癒してゆく 抱きしめたら lonely heart 目の前にいてもすごく会いたい キラめいていたい in your eyes 翼を脱ぎ捨てて 生まれ変われた新しい日にも tell me, you love me どうすればいい I am so in love 私のもとに降りてきた angel 降り注ぐ 愛 from the sky above... take me 今まで 知らないでいたジャーニー just show me 連れて 君となら行けるよ baby この先の道はずっと 二人 終わらない 未来を夜空に描いた our dream 闇を抜けた silent world 過去の涙が海に変わる 握りしめた hand in hand 見つめていても 見つめ足りない I always wanna be in your eyes 美しく映して 生まれ変われた幸せな日にも tell me you love me どうすればいい I am so in love 君は探し続けていた angel 落ちて行きたい deep into your heart.... When the sun comes up 迎えた朝は何故か切なく 見つめる君の寝顔 for reasons となりで眠る君の吐息は答えさえも消し去りease them 触れたならyou might disappear and fade away 月の光に震えて 二人で過去の涙の夜をしのいでいた どこまでも広がる空に僕らはその儚き夢委ねた いつか重なることを we were dreaming and believing 巡り巡る季節を数えて歩いて 終わりなき詩を奏でて 迎える新たなる日にも 生まれ変わるその日にも キラめいていたい in your eyes 翼を脱ぎ捨てて 生まれ変われた新しい日にも tell me, you love me どうすればいい I am so in love 私のもとに降りてきた angel I always wanna be in your eyes 美しく映して 生まれ変われた幸せな日にも tell me you love me どうすればいい I am so in love 君は探し続けていた angel 降り注ぐ 愛 from the sky above..."
18,Only If,"
LISA",LISA,LISA,"あなたは元気ですか 幸せにしていますか 寒い季節になるたび あなたが恋しくなるよ 神様の演出かな きらめく街のライトも 恋人達を照らしては 私を切なくする…何年がすぎても 少しだけの雪を手のひらにのせてみてはとけてゆく… 天使が舞うEVEは 他の誰かといたって 心の奥底はあなたを呼んでいる 昨日のことのように 私は覚えてる 次の冬も一緒に この場所に来ようねって…涙がでるよ ONLY IF, 願い事がかなうなら今, あの日に戻りたい 天使が舞うEVEは 誰と過ごしてたって 最高の想い出はあなたでとまってる 私の名前を呼ぶその声を, どんなに遠くても, 聞きたい 私を抱くその腕のぬくもり, 時が消せない程, 温かい 夜空を飾る星にひとつずつ祈りを込めた日のように 微笑みながら私を見つめた, あなたの目は果てしなくやさしい どんな出会いをしたとしても, あなたの代わりはいない 結ばれない二人でも, 宇宙でつながれるよね 天使が舞うEVEは 他の誰かといたって 12時のベルが鳴る瞬間 私を思い出して あなたは何処で誰を愛しているの？ 私の声 聞こえますか？ 夜空を飾る星に想いを込めて 今年もあなたに I LOVE YOU"
19,color,"
LISA",LISA,LISA・SATOSHI HIDAKA(GTS),目移りしてもいい リップは過去の 火に水を差すような 若い story 甘い誘惑 淡い記憶と 苦い傷跡 時がなだめた 再生し始めた beautiful days 誰の色に染まりきれなくても 走り続け やっと見つけた 経験がくれた 大切なcolor 遠すぎた空 こんなにも近いのに 今何かがスピード上げ出して動き出す 光輝いて I'm so colorful ! 美しくなれる時は now baby ! もう止まらない思いを捕まえて the lights are on 夢じゃない全てが so wonderful ! 目覚めてからでも間に合う feelings 今は恋をしなくても 心色の lipstick on 流されてもいい リップは嘘の 誰かになっては 後悔した 深いため息 幼い駆け引き ズレた 心に隙間があいて 巻き戻せたら告げたいmessage それがなければ 今笑えなくて つまづいてはまた立ち上がって 築きあげてた 特別なcolor 長い夜の 朝を待てないくらい 何もかもが溶けてほどけはじめ 叫び出す 解き放つまぶしさは so colorful ! 素敵に生きれる時は now baby ! 押さえきれない気持ちは突き抜けて the lights are on 夢じゃない全てが so wonderful! 目覚めてからでも間に合う feelings 今は恋をしなくても 心の色の lipstick on 心の声 何故聞き逃していた 開いてゆく 扉を抜け出して飛び立つ 光輝いて I'm so colorful ! 美しくなれる時は now baby ! もう止まらない思いを捕まえて the lights are on 解き放つまぶしさは so colorful ! 素敵に生きれる時は now baby ! 生まれ変われたハートに 私色の lipstick on
