,Song,Artist,Lyricist,Composer,Lyric
0,カラメル,"
もさを。",もさを。,もさを。,こんなに ずっとずっと恋焦がれてる 引力みたい 悪戯なあなた 近づきたいよ 目障りだよね 嫌いでもいい 好きでいていいですか？ まるで波にさらわれるように 一目で引きずり込まれたの 誰にも興味がなさそうね 今何を見てるの？ 不釣り合いなのわかってるけど 胸の奥で期待させて ねえ 心の声叫びたいよ 虜になってしまったの こんなに ずっとずっと恋焦がれてる 中毒かもね 強気な眼差し 追いかけたって 迷惑だよね ポケットの中 言えない言葉たち 答えはいらないよ 好きでいていいですか？ ファインダー越し目と目が合う 心臓の音が聴こえそう この幸せ切り取りたくて シャッターを押したの 二人だけの秘密嬉しくて なんて言えるはずがないよ もう 夢の途中迷ってまた 何度でも呼んでいるの 聞こえますか？ 甘くて苦いカラメルの味 あなたの罠みたいで ああ きっときっと 片道切符 もう戻れない 戻りたくもない こんなに ずっとずっと恋焦がれてる 中毒かもね 強気な眼差し 追いかけたって 迷惑だよね ポケットの中 言えない言葉たち 答えはいらないよ 好きでいていいですか？ 嫌われてもいいの 好きでいていいですか？
1,会いたい,"
もさを。",もさを。,もさを。,眠気誘うその声 愛しさは距離を超え 過ぎていく時間の中 まだ話したいことがあるのに おやすみの一言で悲しくなるの あなたの香り温もりが恋しくなって こんなにも胸が痛いよ 綺麗に想えば想うほど消えちゃいそうで 私寂しさできっと辛くなってしまうから 会いたい 足りない 電話越しの声じゃ 今すぐ夜を超えたい 届かない距離もどかしくて 夢の中でもいいから 会いたい 足りない あなたが思うほど 私は強くないから 我慢しても耐えられないよ 次はいつ会えるのかな 待てない 染まってくあなた色 きっと紅より綺麗よ めぐりゆく季節の中 ただあなたと歩んでいたいの その瞳に映る二人の未来を 今まで見てきた景色が胸を締め付けて 苦しくって思い出す度会いたくなるの これまでの思い出薄れても 会えない日々が続いても 一つの愛を信じていれば きっとまた手を取り合えるから 会いたい 足りない あなたにただ触れて 今すぐ感じていたい 静かすぎるこの部屋はまだ 愛を確かめられない 会いたい 足りない 電話越しの声じゃ 今すぐ夜を超えたい 届かない距離もどかしくて 夢の中でもいいから 会いたい
2,きらきら,"
もさを。",もさを。,もさを。,きらきらと 眩しいあなたに 心奪われてしまいそう 惹かれていく あたしバカね 光るあなたは宝石のよう 初めてあなたを見た時 胸の奥がもうドキドキ この気持ちはどうなるのかな 目が合う度にまたふわふわと 甘い泡が宙で弾ける音に恋焦がれて きらきらと 眩しいあなたに 心奪われてしまいそう 四六時中 あなたばかり 夢中頭の中ぐるぐると あなたと話したいけれど もっとそばに行きたいのに 素直な私ほら出てきてよ いつまで隠れている気なの 優しい香り揺れるそよ風に今届けたくて この想いを 始まりはいつも突然 好きになるつもりはなかったの 神様は本当意地悪ね 他の人にこんな気持ちなかったのにな きらきらと 煌くあなたに 恋をしていてもいいですか？ 止められない あたしバカね 照らす太陽みたいな笑顔 きらきらと 眩しいあなたに 心奪われてしまいそう 惹かれていく あたしバカね 光るあなたは宝石のよう あなたは宝石のよう
3,ぎゅっと。,"
もさを。",もさを。,もさを。,手を繋ぐと体温が上がって 無邪気な笑顔につられて 変な口癖真似してみたり 寝顔をじっと眺めていたら いつの間にか朝になってたり 特別はたまにでいいよ 何気ない日常が私にとって大切で 側に居るだけでわかるの 心からあなたが好きなんだ 素直になれないワガママな私だけど だから ねぇ あなたの大きな身体でぎゅっと。 抱き寄せて離さないで 柔らかくて優しい声で あたしの名前を呼んで それだけで私は幸せだから ひとつ願いが叶うのなら あなたとこれからもずっと ずっと隣に居れますように 悩んで落ち込んでたり 嫌なことで泣いていても 「大丈夫だよ。」って 1番近くで支えてくれたね そっと包み込んでくれる 私の弱いところ知ってるみたいに いつも隣に居てくれるあなたのおかげで 側に居るだけで落ち着くの あなたの彼女で幸せだって こぼれそうな好きの気持ち 受け取ってくれるかな ねぇ あなたの大きな身体でぎゅっと。 抱き寄せて離さないで 柔らかくて優しい声で あたしの名前を呼んで それだけで私は幸せだから ひとつ願いが叶うのなら あなたとこれからもずっと ずっと隣に居れますように もしも、この先喧嘩しても 価値観がすれ違っても 2人で乗り越えて行こうね 全部全部ぎゅっと。 あなたの大きな身体でぎゅっと。 抱きしめて離さないで 暖かくて優しい瞳で あたしだけを見つめていて それだけで私は幸せだけど 今日はあたしがぎゅっと。させてね ひとつだけ伝えたいことがあるの これからもずっと大好きだよ
4,ぎゅっと。 (A夏目 Remix),"
もさを。",もさを。・A夏目,もさを。・A夏目,あなたの大きな身体でぎゅっと。 抱き寄せて離さないで 柔らかくて優しい声で あたしの名前を呼んで それだけで私は幸せだから ひとつ願いが叶うのなら あなたとこれからもずっと ずっと隣に居れますように 繋いだ手で伝えれるね 私は貴方が好きだって 心拍数ぐーんと上がってくね 優しく触れて測ってくれ 世界を1周回ったって 変な口癖でわかるだろ 半分子で2つ分の 大きな笑顔で旅をしよう 初めての朝 飾られた花 貴方から貰った赤い薔薇 私の宝 いつか枯れたら 本当は嫌だけど馬鹿にするから 意地を張るのよ 傍にいる程 だらしないとこを見せている模様 他の人見てると嫉妬するのもそう あとは変な笑顔 いい子ぶるところ 子供じゃないけど大人じゃないよ 見てくれないと大人しくないよ 迸る愛と醜いプライド 想っていることも一途に伝えよう 「愛してるよ」 の言葉は最後 形で表そう 何かは内緒 貴方がビックリしてしまうくらいの 特別な愛情 特別な2人の 最高 あなたの大きな身体でぎゅっと。 抱き寄せて離さないで 柔らかくて優しい声で あたしの名前を呼んで それだけで私は幸せだから ひとつ願いが叶うのなら あなたとこれからもずっと ずっと隣に居れますように Stop and Go 動かない観覧車はどう 治らない傷にごめんと ありがとうを伝えるんだろう？ 君が隠してる－と 私が持ってる＋で 一から十、全部埋めよう じゃなきゃ私じゃなくていいから 悩みもあるんだよ 行先は暗い方に 優しく包んだ夜 照らしてくれた月のように 赤、黄、青くすんだ色 荒い肌に似合ってるよ 裸足も新しい靴も変わんない 一緒にここにいよ 貴方と私の間にも 嬉し涙と憂い涙がある 私は変で何も分からないから だからもっと 嬉しい時は抱きしめて ねぇ あなたの大きな身体でぎゅっと。 抱きしめて離さないで 暖かくて優しい瞳で あたしだけを見つめていて それだけで私は幸せだけど 今日はあたしがぎゅっと。させてね ひとつだけ伝えたいことがあるの これからもずっと大好きだよ
5,恋色,"
もさを。",もさを。,もさを。,いつも愛おしい 不思議な瞳 ずるいよね 照れ隠して目を逸らす 世界がカラフルに塗り替わってく 胸の奥ずっと弾けて魔法みたい なんでかな あなたに受け止めてほしい これが恋ですか？ 恋がいいな 遠いようで近くにいた まるで運命のように いつだって隣にいて 私だけを見つめてくれたね 好きよ 今あなたに想い乗せて ほら 素直になるの私 この先もっと側にいてもいいかな？ 恋と恋が重なって 好きよ 今あなたに想い届け ねえ 気付いてくれませんか？ どうしようもないくらい 心まで好きになっていく こんなにも奇跡信じているの バカみたい 浮かれてばかり今日もまた 駆け巡っている好きの気持ち 指先が触れそうな距離 ずっとこのままがいいな 手を取って抱きしめてよ そんなこと言えるはずもなくて 好きよ 今あなたに想い乗せて ほら 勇気を出すの私 もう少しだけ見つめててもいいかな？ その瞳(め)に溺れていたい 好きよ 今あなたに想い届け ねえ 溢れてもいいですか？ ひとつの恋握りしめ 心から永遠願うの 好きよ 今あなたに想い乗せて ほら 素直になるの私 この先もっと側にいてもいいかな？ 恋と恋が重なって 好きよ 今あなたに想い届け ねえ 気付いてくれませんか？ どうしようもないくらい 心まで好きになっていく 息もできないくらいに あなたしか見えなくなってく 私恋してる
6,桜恋,"
もさを。",もさを。,もさを。,おはよう。の度また惹かれてく 春の凪、あなたの匂い すれ違っただけなのに嬉しくて 振り向いてよ。願いを内に秘め 見慣れたはずの姿が 瞼の裏に焼きついたまま あなたの瞳(め)に映る子は 桜より綺麗で さようなら 恋した私 叶わない 気付いてた あなたのことが好きだよ 好きだったの ダメかな？ 私じゃ 今更遅いよね 遠くから眺めているだけで 幸せを感じていたよ どんな時も優しさに溢(あふ)れてた そっけないところも愛おしくて いつも通りの教室 別れの日が今近づいてる 振り返ればいつだって あなたを想ってた さようなら 恋した私 嫌になる 悔しくて あなたの顔が消えない 消えないのよ どうして 浮かぶの ずるいよその笑顔 道端の蕾が開く ああ もう別れの日 さようなら 恋した私 最後まで言えなかった あなたのことが好きだよ 好きだったの 想い出 預けて 明日へ歩いてく 花びら 泣いてる ひらひらと
7,好きが溢れていたの,"
もさを。",もさを。,もさを。,ねえ あなたは幸せだった？ どうして変わってしまったの ねえ もう会えないなんて言わないで また私を泣かせるのね 曖昧な言葉で濁さないで 誰よりもあなたのこと好きなのに 私だけ好きが溢れていたの 甘えすぎたかな 当たり前の幸せずっと続いてく そう思っていたのにな もしもあの頃に戻れるなら 嘘をついてもいいから もう一度私のこと抱きしめてよ 涙がこぼれてしまう前に ねえ 私のどこが嫌だった？ ちゃんと教えて欲しかったの 少しづつ離れていくあなた 行かないでと追いかけたけど 私だけ好きが溢れていたの 追えば追うほどに 抑えきれず想いがずっと募ってく もうどうしたらいいかな ただ側に居てほしいだけなの 重くなりすぎたのかな あなたしか見えないの また抱きしめてよ 心が渇いてしまう前に その笑顔も泣き虫なところも全部 あなたに似たはずなのにな 私だけ好きが溢れていたの 甘えすぎたかな 当たり前の幸せずっと続いてく そう思っていたのにな 苦しいくらい恋をしてたの 言葉にできないほどに こんなにも涙が止まらないのなら 愛なんかいらない うんざりなの
8,冬のプレゼント,"
もさを。",もさを。,もさを。,あなたに言いたい「ずっと好きです。」 友達のままじゃ終われないの 冷たい手と手を温めて 恋する気持ち届きますように 街は光に包まれて 鈴の音色が鳴り響く 舞い落ちる雪を綺麗にまとうの 純白のドレスみたいに 白い吐息が混じり合う 今日はあなたを独り占めね 優しくされると期待してしまう これは脈アリのサイン？ きっと困らせてしまうよね あなたのこと考えてばかりで 冷たい風が背中押すの 冬のせいにして強く抱きしめなと 明日は今日よりもっと好きです 見つめる先はいつもあなたで 凍える身体を抱き寄せて なんて言うのは間違いだよね ほんの少しの 冬の奇跡 魔法をかけて ホットココア美味しいねと 微笑む姿に雪溶けて 聖なる夜にくれた贈り物は いつもよりちょっと甘くて 今日のために切った髪も あなた好みの色の服も 気付いてくれるといいな 今夜だけ ヒロインは私一人 来年も隣で見たいの 白い雪とはしゃぐあなたを 絶対叶えてみせるんだ 今時よ止まれ ああ目と目が合ってどうしよう あふれた想いは「ずっと好きです。」 走り出したらもう止まらない 冷たい手と手が重なって 恋する気持ち 愛に変わってく 伝わる温度 寒い夜も 心地良くって 世界で一つ あなたの横 冬のプレゼント
