,Song_Title,Artist,Lyricist,Composer,Lyric
10,CONFUSION,"
嵐",Shigeo・Macoto56,Joe Killington・Katerina Bramley・Tim Worthington・Michael Conn,"“愛”をする わかってる行程 よけいな技術で 防衛の一途で 出来過ぎの筋書きに騒然 あらわす正体見た 遭遇する未知とで 慢性 Overload もう後がない 全然 目配せ 期待したい 社交辞令も おざなり!? Tell me... what the hell is going on? Yeah! She loves me but 全ては消え何処 I'm a love fool (チャンス待ってSlowdown, baby) I'm a love fool (Can't stop it! I just can't stop it!) 完全にきいてんな I'm sorry あわよくばなんて 可哀想に I'm a love fool (I'm a love fool) 今回に限り 駆け引きどうです? 鈍感に演じて失敗 苦労人 All together Don't miss getting on the love train 記憶がBlack out しても いい思い出は Forever! 絡まっちゃった回路に Confusion, in the air 滅私奉公 覚えてられない 疲労 ピント合わない巷 闊歩 on the road Yeah! She loves me but 全ては見栄! It's cool I'm a love fool (どうしたってフラッシュバック、baby) I'm a love fool (終わりのないジェットコースター、baby) 無いモノねだりの Connection 変われそうかい? 壊そうぜ! I'm in Love? Ah-ah It's you! (I wanna love you) I'm a love fool (チャンス待ってSlowdown, baby) I'm a love fool (Can't stop it! I just can't stop it!) 完全にきいてんな I'm sorry あわよくばなんて 可哀想に I'm a love fool (I'm a love fool)"
11,Cause I Love You featuring MOOMIN,"
山嵐",KOJIMA・SATOSHI・MOOMIN,山嵐・MOOMIN,もろくて儚い 氷の世界に立って 遠い君の面影思い浮かべる 途切れることない ひとごみの中で 届かないとしてもいいさSay I Love You 街の狭い空でそっと揺れてる 月も見てた過去が胸をかすめる いまだ停止なく前進 開くベージ に記された知らない未来 昨日今日明日全く違う顔 次は何が心を満たすだろう 何かこう 不安が募るが当然なんだろう 俺もあんたもいろいろ有るよこの先も だが気分心なしといい くだらないことでも 朝まで笑いあって すべてに身を委ね時を過せる 途切れること ない 光と希望の中 よろこび感じられたのは Cause I Love You いつもの部屋に戻り俺は一人 歩んできた道のりをもとに 新たな地図を広げ ただだだ偽りのない心を求め 時が経てば夢のかけら キラキラ光ると信じながらも どうか明日は 輝くように 願ってる 傘も差さず雨が止むのを待ってる 影すら映らない 夜が明ける前 もろくて儚い 氷の世界に立って 遠い君の面影思い浮かべる 途切れることない ひとごみの中で 届かないとしてもいいさSay I Love You 長い夜人知れずしじまで 咲き誇るおぼろけな花のようで もろくて儚い 氷の世界に立って 遠い君の面影思い浮かべる 途切れることない ひとごみの中で 届かないとしてもいいさSay I Love You くだらないことでも 朝まで笑いあって すべてに身を委ね時を過せる つまらないことなど 偽りの無い言葉を包む空気すべて無くしてくれるだろう そして最後に Cause I Love You 空見上げりゃ 誰もが繋がっていく 隔たりを越え ただ広がってく 今も昔もこの先も 祝おう愛する喜びを 出会いと別れ その中で 描いた夢を追う運命 それぞれ歩いていく道のりを 照らし出そう ほら旅立とう
12,Calling,"
嵐",s-Tnk・eltvo,Andreas Johansson・youwhich,"One day... Now and forever...“This is a last hope” For my life For your life 今を掴むんだ In my world 生まれた Take your time In my life 今を進むんだ ここで生まれた けして消えない 心深く 静かに降る 雨のような それが 僕をここまで 連れてきたんだ この先だって ずっとそうだろう？ So time to go 答えは「今」 Now 全て懸ける One way, no doubt その時に希望は生まれてゆく 溢れ出すまま心で叫べ It's a moment of my life 終わらせないんだ信じてる We can believe 誰一人 So never end 変わらぬ生命(いのち) たとえ微かな光だって 目を逸らさず現実(いま)を掴め 強く想う 心ひとつ 君の中で 燃えてるから 止まぬ 雨に打たれて 決まった運命を 壊してく いつだってそうだろう？ Don't give it up! 君がきっと Go! 思うよりも Believe in yourself 人はもっと強いものだから だからただ生きてゆくだけだろう It's a moment of my life デタラメと他人(ひと)が笑っても We can believe どうしても So never end 大切な君を なくせないから 確かな その生命(いのち)の鼓動抱いて ガラスの向こうに My world 手を伸ばす… Oh 溢れ出すまま心で叫べ It's a moment of my life 終わらせないんだ信じてる We can believe 誰一人 So never end 変わらぬ生命(いのち) たとえ微かな光だって 目を逸らさず現実(いま)を掴め"
13,豪直球,"
山嵐",KOJIMA・SATOSHI,山嵐,投げる豪直球 全国に突き抜けろ突風 ド頭からHead Bangingで列島揺るがす 手延ばしたなら 声上げ EndlessでNo RestでMax Bet いざ対決サイが振られ My理論 高い理想に増す希望 感じ取って マイク取って 剣を取っ払いペンで書くはライム いつも点と線 発展遂げ続くエンドレスで冒険 怪事件の連鎖 暗号解き掴むか天下 かなり独断 生き残る国産 高めのボルテージ 不能さ測定 出来ぬ特定 正体不明 謎の軍団 豪直球 接戦を制す 情熱でストライク 絶景かい セカンドタイムない たった1回のライフタイム 毎回譲歩しないで行くマイロードに 未来見据え快調に そう調子は確か 見える勝負の明日 次の答えは間近 それ探すから燃やすたいまつ 一球入魂 この弾道 産む感動 決して冷めないPassion ぬかりないAll Cast また躍動 眺める理想郷 闇を進んでく航路 ハートを射抜くコントロール 本物 これが豪直球 豪直球 接戦を制す 情熱でストライク 絶景かい セカンドタイムない たった1回のライフタイム チクタク短期の時の行進 生き抜く乱気流の中 LONELY 光が射し 希望が増す方に EVERYDAY 探す晴天 無理なら変えてく 今をさいてく 不敗神話 己の金貨 磨く高い理想 Throwingする豪直球 Grow upして届かす日本全国区 その迷路 抜け出すKeyは斬新な正論 今からこっち耳を傾けろ その迷路 抜け出すKeyは斬新な正論 まだまだこっち耳を傾けろ We Will Rock You 豪直球
14,五里霧中,"
嵐",久保田洋司・Rap詞：櫻井翔,オオヤギヒロオ,"本日ハ晴天ナリ 現実ハ雷 天国ハ御隣 Kissサエモ御座ナリ 草むらに咲く花は Come on Do that Do that Do ru that that that! EverybodyさぁGo 休むな Yo-ho! だらけた 妄想 蹴散らして 行こう 今までだったら きままな毎日 幸せ感じた 仕方なくなかった 見合わせた瞳 西に向け Delete 昨日 昨日よりも今日 あきらめないぜ (We get we get the chance) I'll keep running on my way (We get we get the chance) 力を 光を 与えたまえ Rainy Cloudy Fine Today 今日は今日で終わってしまう Dizzy Crazy Vain Today この苦しみも サヨウナラ 本日ハ晴天ナリ 現実ハ雷 天国ハ御隣 Kissサエモ御座ナリ 乗るか そるか Don't look that Don't be a loser 東からまた西に向け Wake up Yo-ho! Everybodyさぁ 今日も あきらめないぜ (We get we get the chance) I'll keep running on my way (We get we get the chance) 勇気を 叡智を 与えたまえ Rainy Cloudy Fine Today 今を思う存分生きる Dizzy Crazy Vain Today 明日は明日 オモイキリ We get we get the chance We get we get the big chance We get we get the chance We get, one two three four Na na na… Rainy Cloudy Fine Today 今を思う存分生きる Dizzy Crazy Vain Today 明日は明日 Rainy Cloudy Fine Today 今日は今日で終わってしまう Dizzy Crazy Vain Today この苦しみも サヨウナラ サヨウナラ 本日ハ晴天ナリ 本日ハ晴天ナリ 本日ハ晴天ナリ 本日ハ晴天ナリ"
15,GOING UP,"
Liella!",宮嶋淳子,秋浦智裕,風船が雨にうたれてころがる どこへ向かうか 分からないままで だけど大空を夢みてるよ 君の笑顔がきらめいてゆれるから 何度でも いこう！って声が 聞こえるよ そのたび希望ふくらんでゆく 雨あがりの青 とびたつのさ ふわり鮮やかに浮かびあがれ さあ！ 迷っても目を閉じればいつも まぶたの裏には 君が見えた はじめての空はドキドキで不安 ぼんやりすれば さらわれる強い風 だめだ無理だよと思ったとき また響くのさ 平気だよ！できる！と もう一度 上昇するんだ 軽やかな心でくるり回り 目の前ひろがる 果てしない青 渡れ この両手ミライにのばし ずっと変わらない大事な気持ち 最後の最後にささえるんだ 大好きだよ！ しゅんとさ、しぼんだって 君と一緒ならとべる もっとさ、いくんだって 舞いあがれ たかく！ 雨あがりの青 とびたとうよ ふわり鮮やかに浮かびあがれ さあ！ 迷っても目を閉じればいつも まぶたの裏には 君が見えた 願いを抱きしめ とんでいくよ (ララララ) 夢を (ララララ) みようよ (ララララ) 夢を (ララララ) みよう！
16,GO! GO!ライフリング4!!!!,"
ライフリング4",KOH(SUPA LOVE)・宮崎まゆ(SUPA LOVE),KOH(SUPA LOVE),今すぐ叫びたい 撃ち放て、私たちがNo.1！ 背中をなぞる汗が はじまりを伝えてくる ドキドキする鼓動 邪魔して Hah なんだかうまくいかない 深呼吸…(大丈夫) 強くなれる(なれる) ひとりじゃないこと 知ってるから 今すぐ叫びたい こんなに美しい世界に出会えたんだって さあ心のトリガー引いて 撃ち放て (Go！ Go！ Let's go！)、私たちがNo.1！ 目指せ1st-classのgunner girls！！ 想いは同じ歩幅 運命引き寄せあった 胸高鳴る度に 隣に Hah 笑顔を感じあってた いつだって…(いつだって) 信じあえる(あえる) 仲間がいるから 負けたくない 今すぐ伝えたい こんなに輝く世界があるんだって さあホンキをリロードして つかむんだ(Go！ Go！ Let's go！)、私たちのvictory！ 約束された勝利なんて(本当に) あるのかはわからないけど(だからこそ) 全力で戦うんだ 精一杯の自分で行かなきゃ さあ構えよ！ (Yeah！ Go！ Go！ Let's go！ Come on！ Uh ライフリング4！ Ready？ Go！ Go！ Let's go！ Fuuu！) 今すぐ伝えたい こんなに素敵な世界にありがとうって そう一人でも欠けてたらダメなんだ 私たちの想いはひとつだから 今すぐ叫びたい こんなに美しい世界に出会えたんだって さあ心のトリガー引いて 撃ち放て (Go！ Go！ Let's go！)、私たちがNo.1！ 目指せ1st-classのgunner girls！！
17,Go Just Go! (M@STER VERSION),"
夢見りあむ(星希成奏)、大槻唯(山下七海)、北条加蓮(渕上舞)、佐藤心(花守ゆみり)、一ノ瀬志希(藍原ことみ)、鷹富士茄子(森下来奈)、棟方愛海(藤本彩花)、川島瑞樹(東山奈央)、五十嵐響子(種﨑敦美)",八城雄太,田中秀和(MONACA),(Go！ Just go！ Just enjoy it！) あぶないくらい ねっちゅーしょーってワード 局地的に大流行中みたい 汗とおんなじだけのドリンクで乾杯 ぼくらはいつも きっかけ欲してるんだ 夢とか恋とか始めるタイミング 暫定的に太陽のせいにしてSay love it 楽園は何処？ 貴方といる此処がそうだよね ゆめうつつ あいうらら うかれていいじゃない Go Go Go Just Go Yeah！ 太陽は沈まない ムゲンに遊ぼう 足りないなら 埋めてあげるよ (ああ ゴージャスなゴールド ソー コンシャスなコースト めくるめくるパラダイスなら ここでいいじゃない) 名前も知らないフルーツかじって テンションでバナナボート(バナナ)にのっちゃって キッチュな水着が濡れ ぎらり 光った 太陽の下じゃ 熱はいつまでも冷めないからね ほてるまま くらくらら 夢の中みたい Go Go Go Just Go Yeah！ 太陽はもうてっぺんだ いちばんかわいい わたしだから 見飽きないでしょ スローモーションが 永遠 続くといいな (Go！ Just go！ Just enjoy it！) 音に合わせて (Go！ Just go！ Just enjoy it！) ココロを解き放って (Go！ Just go！ Just enjoy it！) リズムに抱かれるままに 遊びまくっちゃって 太陽はもうてっぺんだ いちばんかわいい わたしだから 見飽きないでしょ 足りないなら 埋めてあげる Go Go Just Go Yeah！ テンションは天井知らず 上昇気流だ 愛の雲をもくもくして休んだら またね 遊ぼう (ああ ゴージャスなゴールド ソー コンシャスなコースト めくるめくるパラダイスなら ここでいいじゃない) (ああ ゴージャスなゴールド ソー コンシャスなコースト めくるめくるパラダイスなら ここがいいじゃない)
18,Go Your Way,"
山嵐",KOJIMA・SATOSHI,山嵐・亀田誠治,辿り着きたい次のSTAGE 立ち止まらなきゃ It's So Easy どうした最近? 下ばっか向いてんぜ毎日 忘れたのか 大吉ひいた元旦の日 [ぶってぇーはずさ お前のひき] それがどうだ 今じゃ苦労が重なりスローダウン [グラーングラーン 波を乗り越えどこぞに到達] 何があっても譲れぬフォーカス [誤解だらけの都会の街サバイブ] 叶えたい夢と闇の境 [狙い通りいかなきゃロンリー] だけどもう一歩先のグローリー [ただ一人じゃない 皆がぶつかる壁] 腹を決めて高く飛べ [迷いさまよう はかなきワインディングロードの中 前見ろ] もしもゴールさえ 見失っても ここまで来た道すすめ 愛するために 生きるために 走り出せよ Go Your Way 大事にしろ Go Your Way そうその調子 想像し [掘り下げるのも向上心] Don't Worry [難しい事ない そう 熱き情熱傾く方] 時の行進 [着くぞもうじき そこがお前のNEXT STAGE] 当然 そこからも冒険 迷う事なく Go Your Way 辿り着きたい次のSTAGE 立ち止まらなきゃ It's So Easy 止まない雨に打たれても ここまで来た道すすめ 愛するために 信じるために 走り出せよ Go Your Way 偽りなく Go Your Way たった一度の人生 Go Your Way たとえどこかでまたつまずいても 今を逃げなければ 越えてゆける 辿り着きたい次のSTAGE 立ち止まらなきゃ It's So Easy もしもゴールさえ 見失っても ここまで来た道すすめ 愛するために 生きるために 走り出せよ Go Your Way 止まない雨に打たれても ここまで来た道すすめ 愛するために 信じるために 走り出せよ Go Your Way 大事にしろ Go Your Way 偽りなく Go Your Way 辿り着きたい次のSTAGE 立ち止まらなきゃ It's So Easy
19,Silent Oath,"
Knights",松井洋平,山木隆一郎,"ふっと…柔らかな風が髪を靡かせて もっと…こちらへと、手招きしてるようだ 決して許されることは無いと知っても心に募ってく… 貴女への忠誠の器から 嗚呼…零れていくね (Dear Moon Light) 照らし出さないで欲しい (Moon Light) 消え去ってしまうから I wear the pitch black NIGHT. 寄り添う影の様に護りたい 清らかな永遠を此処に “Silent Oath” ずっと伝えないままに…この胸に秘めた言葉 貴女に捧げた剣と共に、我が身に掛けた鍵は 誇らしく痛む誓い… 時の過ぎ行くままに… 今は そうさ…離れずに傍らにいるだけでいい こんな…孤独さえ抱えて歩き出そう 深い森に囲まれた城の窓から夜空の美しい 星だけを見て欲しい、貴女には… 汚れ無きまま (Dear Moon Light) 照らし出さないで欲しい (Moon Light) 争いに満ちた世界 Lady, please stay in peace. 陽の当たる場所まで誘おう 清らかな永遠に相応しい貴女の 柔らかな微笑みに…この胸は揺れるけれど 水面に映る月とおなじことと心をそっと閉じて 誇らしく痛む誓い 今日も抱えていよう…瞳に映る月が… 暁に消えていく景色…時の流れ行くままに… 言葉にすることさえも許されぬ 咲くことの無い花の名前…忘れて (My Dear) 優しいその声に (My Dear) 溢れてしまわぬよう (My Dear) 心に掛けた鍵 (My Dear) 水底に沈めた… (Dear Moon Light) 照らし出さないで欲しい (Moon Light) 自ら消えるから いつか貴女に 幸せが訪れるその時… 清らかな永遠を此処に “Silent Oath” ずっと伝えないままに…この胸に秘めた言葉 貴女に捧げた剣と共に、我が身に掛けた鍵は 誇らしく痛む誓い 清らかな永遠に相応しい貴女の 柔らかな微笑みに…この胸が揺れた理由は 水面に映る月に投げた鍵がさざ波をたてたからさ 仕舞い込む淡い『想い』 時の過ぎ行くままに… 今は ずっと抱えていよう…瞳に映した光… 誇らしく痛む誓いだけをずっと…"
